sample interval	   MLII
(0,002 sec)	   (mV)
182		0.065
183		0.065
184		0.065
185		0.065
186		0.060
187		0.060
188		0.060
189		0.065
190		0.065
191		0.065
192		0.070
193		0.070
194		0.075
195		0.075
196		0.075
197		0.075
198		0.070
199		0.070
200		0.065
201		0.065
202		0.060
203		0.055
204		0.055
205		0.055
206		0.050
207		0.050
208		0.050
209		0.050
210		0.050
211		0.045
212		0.045
213		0.045
214		0.040
215		0.035
216		0.035
217		0.030
218		0.030
219		0.025
220		0.025
221		0.030
222		0.030
223		0.035
224		0.040
225		0.045
226		0.045
227		0.045
228		0.045
229		0.045
230		0.045
231		0.045
232		0.045
233		0.050
234		0.050
235		0.050
236		0.050
237		0.045
238		0.040
239		0.035
240		0.030
241		0.020
242		0.020
243		0.020
244		0.020
245		0.025
246		0.035
247		0.040
248		0.040
249		0.045
250		0.045
251		0.040
252		0.035
253		0.030
254		0.025
255		0.025
256		0.030
257		0.030
258		0.035
259		0.045
260		0.050
261		0.055
262		0.060
263		0.060
264		0.060
265		0.065
266		0.060
267		0.060
268		0.060
269		0.055
270		0.055
271		0.050
272		0.045
273		0.045
274		0.040
275		0.045
276		0.050
277		0.055
278		0.060
279		0.070
280		0.075
281		0.080
282		0.085
283		0.080
284		0.075
285		0.070
286		0.065
287		0.055
288		0.050
289		0.045
290		0.040
291		0.040
292		0.035
293		0.030
294		0.020
295		0.015
296		0.010
297		0.010
298		0.005
299		0.005
300		0.010
301		0.015
302		0.015
303		0.020
304		0.020
305		0.020
306		0.020
307		0.020
308		0.015
309		0.015
310		0.015
311		0.010
312		0.010
313		0.005
314		0.005
315		0.000
316		-0.005
317		-0.010
318		-0.010
319		-0.010
320		-0.010
321		-0.010
322		-0.010
323		-0.010
324		-0.010
325		-0.015
326		-0.015
327		-0.020
328		-0.025
329		-0.030
330		-0.030
331		-0.030
332		-0.030
333		-0.030
334		-0.025
335		-0.025
336		-0.030
337		-0.035
338		-0.040
339		-0.045
340		-0.045
341		-0.035
342		-0.015
343		0.025
344		0.075
345		0.140
346		0.220
347		0.305
348		0.390
349		0.470
350		0.535
351		0.590
352		0.620
353		0.625
354		0.600
355		0.555
356		0.485
357		0.395
358		0.295
359		0.190
360		0.090
361		0.000
362		-0.070
363		-0.120
364		-0.145
365		-0.150
366		-0.140
367		-0.115
368		-0.090
369		-0.060
370		-0.040
371		-0.025
372		-0.015
373		-0.015
374		-0.020
375		-0.025
376		-0.035
377		-0.035
378		-0.040
379		-0.040
380		-0.040
381		-0.040
382		-0.035
383		-0.035
384		-0.035
385		-0.040
386		-0.040
387		-0.040
388		-0.045
389		-0.045
390		-0.045
391		-0.045
392		-0.045
393		-0.045
394		-0.040
395		-0.040
396		-0.035
397		-0.030
398		-0.030
399		-0.025
400		-0.025
401		-0.025
402		-0.025
403		-0.025
404		-0.025
405		-0.025
406		-0.025
407		-0.030
408		-0.030
409		-0.030
410		-0.030
411		-0.025
412		-0.025
413		-0.020
414		-0.020
415		-0.015
416		-0.010
417		-0.010
418		-0.010
419		-0.010
420		-0.010
421		-0.010
422		-0.010
423		-0.010
424		-0.010
425		-0.005
426		0.000
427		0.005
428		0.010
429		0.015
430		0.020
431		0.025
432		0.025
433		0.030
434		0.030
435		0.035
436		0.040
437		0.045
438		0.050
439		0.055
440		0.065
441		0.070
442		0.070
443		0.075
444		0.075
445		0.075
446		0.075
447		0.075
448		0.080
449		0.085
450		0.090
451		0.095
452		0.105
453		0.115
454		0.120
455		0.130
456		0.135
457		0.140
458		0.140
459		0.145
460		0.145
461		0.145
462		0.145
463		0.145
464		0.150
465		0.150
466		0.155
467		0.160
468		0.165
469		0.170
470		0.175
471		0.175
472		0.170
473		0.165
474		0.155
475		0.140
476		0.130
477		0.120
478		0.115
479		0.110
480		0.105
481		0.100
482		0.095
483		0.085
484		0.075
485		0.060
486		0.045
487		0.030
488		0.015
489		0.005
490		-0.005
491		-0.005
492		-0.005
493		-0.005
494		-0.005
495		-0.005
496		-0.010
497		-0.015
498		-0.025
499		-0.035
500		-0.040
501		-0.045
502		-0.050
503		-0.050
504		-0.050
505		-0.045
506		-0.050
507		-0.050
508		-0.055
509		-0.060
510		-0.070
511		-0.075
512		-0.075
513		-0.080
514		-0.080
515		-0.075
516		-0.070
517		-0.065
518		-0.060
519		-0.060
520		-0.055
521		-0.055
522		-0.055
523		-0.055
524		-0.055
525		-0.055
526		-0.055
527		-0.055
528		-0.055
529		-0.060
530		-0.060
531		-0.065
532		-0.065
533		-0.065
534		-0.065
535		-0.060
536		-0.060
537		-0.055
538		-0.055
539		-0.055
540		-0.050
541		-0.055
542		-0.055
543		-0.055
544		-0.060
545		-0.060
546		-0.060
547		-0.060
548		-0.060
549		-0.060
550		-0.065
551		-0.065
552		-0.065
553		-0.070
554		-0.070
555		-0.070
556		-0.070
557		-0.065
558		-0.065
559		-0.060
560		-0.055
561		-0.055
562		-0.050
563		-0.055
564		-0.055
565		-0.055
566		-0.060
567		-0.060
568		-0.060
569		-0.060
570		-0.055
571		-0.055
572		-0.050
573		-0.045
574		-0.040
575		-0.040
576		-0.035
577		-0.035
578		-0.035
579		-0.035
580		-0.035
581		-0.035
582		-0.035
583		-0.035
584		-0.035
585		-0.030
586		-0.030
587		-0.030
588		-0.035
589		-0.035
590		-0.035
591		-0.040
592		-0.045
593		-0.045
594		-0.050
595		-0.050
596		-0.050
597		-0.050
598		-0.050
599		-0.050
600		-0.050
601		-0.050
602		-0.050
603		-0.055
604		-0.055
605		-0.060
606		-0.060
607		-0.065
608		-0.065
609		-0.065
610		-0.060
611		-0.060
612		-0.060
613		-0.060
614		-0.060
615		-0.060
616		-0.060
617		-0.060
618		-0.060
619		-0.060
620		-0.060
621		-0.060
622		-0.055
623		-0.050
624		-0.050
625		-0.045
626		-0.045
627		-0.040
628		-0.040
629		-0.040
630		-0.035
631		-0.035
632		-0.030
633		-0.030
634		-0.025
635		-0.025
636		-0.020
637		-0.020
638		-0.020
639		-0.020
640		-0.020
641		-0.020
642		-0.020
643		-0.025
644		-0.025
645		-0.030
646		-0.030
647		-0.035
648		-0.035
649		-0.035
650		-0.030
651		-0.030
652		-0.025
653		-0.015
654		-0.010
655		-0.005
656		0.000
657		0.000
658		0.000
659		0.000
660		-0.005
661		-0.010
662		-0.015
663		-0.020
664		-0.025
665		-0.030
666		-0.035
667		-0.040
668		-0.045
669		-0.055
670		-0.060
671		-0.070
672		-0.075
673		-0.080
674		-0.080
675		-0.080
676		-0.080
677		-0.075
678		-0.075
679		-0.075
680		-0.075
681		-0.075
682		-0.075
683		-0.075
684		-0.075
685		-0.075
686		-0.075
687		-0.075
688		-0.075
689		-0.080
690		-0.080
691		-0.085
692		-0.090
693		-0.095
694		-0.095
695		-0.095
696		-0.095
697		-0.090
698		-0.085
699		-0.085
700		-0.085
701		-0.085
702		-0.090
703		-0.095
704		-0.100
705		-0.105
706		-0.105
707		-0.105
708		-0.105
709		-0.105
710		-0.105
711		-0.110
712		-0.115
713		-0.125
714		-0.130
715		-0.130
716		-0.120
717		-0.095
718		-0.055
719		-0.005
720		0.060
721		0.140
722		0.225
723		0.310
724		0.395
725		0.470
726		0.530
727		0.575
728		0.595
729		0.590
730		0.555
731		0.495
732		0.410
733		0.310
734		0.200
735		0.085
736		-0.015
737		-0.095
738		-0.150
739		-0.180
740		-0.185
741		-0.170
742		-0.140
743		-0.110
744		-0.080
745		-0.060
746		-0.055
747		-0.055
748		-0.065
749		-0.075
750		-0.085
751		-0.095
752		-0.100
753		-0.100
754		-0.095
755		-0.090
756		-0.085
757		-0.085
758		-0.080
759		-0.080
760		-0.080
761		-0.080
762		-0.080
763		-0.080
764		-0.075
765		-0.070
766		-0.070
767		-0.065
768		-0.065
769		-0.065
770		-0.070
771		-0.070
772		-0.070
773		-0.065
774		-0.065
775		-0.060
776		-0.055
777		-0.050
778		-0.045
779		-0.045
780		-0.040
781		-0.040
782		-0.035
783		-0.035
784		-0.030
785		-0.025
786		-0.025
787		-0.020
788		-0.015
789		-0.015
790		-0.015
791		-0.015
792		-0.020
793		-0.020
794		-0.020
795		-0.020
796		-0.020
797		-0.015
798		-0.010
799		-0.005
800		0.005
801		0.010
802		0.015
803		0.020
804		0.020
805		0.020
806		0.020
807		0.020
808		0.015
809		0.015
810		0.010
811		0.010
812		0.015
813		0.020
814		0.025
815		0.035
816		0.045
817		0.060
818		0.070
819		0.075
820		0.085
821		0.090
822		0.095
823		0.100
824		0.105
825		0.110
826		0.115
827		0.125
828		0.130
829		0.140
830		0.145
831		0.155
832		0.160
833		0.160
834		0.165
835		0.165
836		0.165
837		0.170
838		0.175
839		0.175
840		0.175
841		0.175
842		0.175
843		0.170
844		0.165
845		0.155
846		0.150
847		0.145
848		0.140
849		0.140
850		0.140
851		0.140
852		0.140
853		0.135
854		0.130
855		0.120
856		0.110
857		0.090
858		0.075
859		0.060
860		0.045
861		0.035
862		0.030
863		0.030
864		0.025
865		0.025
866		0.020
867		0.020
868		0.010
869		0.000
870		-0.010
871		-0.020
872		-0.030
873		-0.035
874		-0.040
875		-0.045
876		-0.045
877		-0.045
878		-0.045
879		-0.050
880		-0.050
881		-0.055
882		-0.060
883		-0.060
884		-0.065
885		-0.065
886		-0.070
887		-0.070
888		-0.065
889		-0.065
890		-0.060
891		-0.060
892		-0.060
893		-0.055
894		-0.055
895		-0.060
896		-0.060
897		-0.060
898		-0.060
899		-0.060
900		-0.060
901		-0.065
902		-0.065
903		-0.065
904		-0.065
905		-0.065
906		-0.070
907		-0.070
908		-0.070
909		-0.075
910		-0.075
911		-0.080
912		-0.085
913		-0.090
914		-0.090
915		-0.095
916		-0.095
917		-0.095
918		-0.090
919		-0.085
920		-0.080
921		-0.075
922		-0.070
923		-0.065
924		-0.065
925		-0.065
926		-0.065
927		-0.065
928		-0.070
929		-0.070
930		-0.070
931		-0.065
932		-0.065
933		-0.060
934		-0.060
935		-0.055
936		-0.055
937		-0.060
938		-0.060
939		-0.065
940		-0.065
941		-0.070
942		-0.070
943		-0.075
944		-0.075
945		-0.075
946		-0.075
947		-0.075
948		-0.075
949		-0.075
950		-0.075
951		-0.075
952		-0.080
953		-0.080
954		-0.080
955		-0.080
956		-0.080
957		-0.080
958		-0.080
959		-0.080
960		-0.080
961		-0.080
962		-0.080
963		-0.080
964		-0.085
965		-0.085
966		-0.085
967		-0.085
968		-0.090
969		-0.090
970		-0.095
971		-0.095
972		-0.100
973		-0.100
974		-0.100
975		-0.100
976		-0.100
977		-0.100
978		-0.100
979		-0.100
980		-0.100
981		-0.100
982		-0.105
983		-0.105
984		-0.110
985		-0.110
986		-0.110
987		-0.115
988		-0.115
989		-0.115
990		-0.115
991		-0.115
992		-0.115
993		-0.115
994		-0.115
995		-0.115
996		-0.110
997		-0.110
998		-0.110
999		-0.105
1000		-0.105
1001		-0.105
1002		-0.110
1003		-0.110
1004		-0.115
1005		-0.120
1006		-0.120
1007		-0.125
1008		-0.120
1009		-0.120
1010		-0.110
1011		-0.105
1012		-0.100
1013		-0.095
1014		-0.090
1015		-0.095
1016		-0.100
1017		-0.105
1018		-0.110
1019		-0.115
1020		-0.120
1021		-0.120
1022		-0.120
1023		-0.120
1024		-0.115
1025		-0.115
1026		-0.115
1027		-0.115
1028		-0.110
1029		-0.110
1030		-0.105
1031		-0.095
1032		-0.085
1033		-0.070
1034		-0.055
1035		-0.040
1036		-0.025
1037		-0.010
1038		0.000
1039		0.005
1040		0.010
1041		0.015
1042		0.015
1043		0.015
1044		0.015
1045		0.020
1046		0.020
1047		0.025
1048		0.030
1049		0.040
1050		0.045
1051		0.050
1052		0.060
1053		0.065
1054		0.070
1055		0.075
1056		0.080
1057		0.080
1058		0.080
1059		0.085
1060		0.085
1061		0.085
1062		0.085
1063		0.080
1064		0.080
1065		0.080
1066		0.075
1067		0.075
1068		0.070
1069		0.065
1070		0.065
1071		0.060
1072		0.055
1073		0.055
1074		0.050
1075		0.045
1076		0.040
1077		0.040
1078		0.035
1079		0.030
1080		0.030
1081		0.030
1082		0.030
1083		0.030
1084		0.035
1085		0.035
1086		0.035
1087		0.035
1088		0.030
1089		0.025
1090		0.020
1091		0.015
1092		0.010
1093		0.005
1094		0.000
1095		-0.005
1096		-0.005
1097		-0.005
1098		-0.005
1099		-0.005
1100		0.000
1101		0.000
1102		0.005
1103		0.005
1104		0.010
1105		0.010
1106		0.005
1107		0.005
1108		0.005
1109		0.000
1110		0.000
1111		0.000
1112		0.000
1113		-0.005
1114		-0.005
1115		-0.005
1116		-0.010
1117		-0.020
1118		-0.025
1119		-0.035
1120		-0.040
1121		-0.045
1122		-0.040
1123		-0.025
1124		0.000
1125		0.040
1126		0.090
1127		0.155
1128		0.230
1129		0.310
1130		0.400
1131		0.490
1132		0.575
1133		0.650
1134		0.705
1135		0.735
1136		0.735
1137		0.705
1138		0.640
1139		0.550
1140		0.440
1141		0.320
1142		0.205
1143		0.100
1144		0.015
1145		-0.045
1146		-0.075
1147		-0.085
1148		-0.075
1149		-0.055
1150		-0.035
1151		-0.010
1152		0.005
1153		0.010
1154		0.015
1155		0.015
1156		0.015
1157		0.015
1158		0.020
1159		0.025
1160		0.030
1161		0.030
1162		0.035
1163		0.035
1164		0.030
1165		0.025
1166		0.020
1167		0.015
1168		0.010
1169		0.010
1170		0.015
1171		0.020
1172		0.025
1173		0.030
1174		0.030
1175		0.035
1176		0.030
1177		0.030
1178		0.025
1179		0.025
1180		0.025
1181		0.020
1182		0.020
1183		0.020
1184		0.020
1185		0.020
1186		0.020
1187		0.020
1188		0.020
1189		0.020
1190		0.020
1191		0.025
1192		0.025
1193		0.030
1194		0.035
1195		0.040
1196		0.040
1197		0.045
1198		0.045
1199		0.045
1200		0.045
1201		0.045
1202		0.040
1203		0.040
1204		0.040
1205		0.045
1206		0.045
1207		0.045
1208		0.050
1209		0.050
1210		0.050
1211		0.055
1212		0.055
1213		0.060
1214		0.065
1215		0.070
1216		0.075
1217		0.080
1218		0.085
1219		0.090
1220		0.090
1221		0.095
1222		0.095
1223		0.095
1224		0.100
1225		0.105
1226		0.110
1227		0.120
1228		0.130
1229		0.140
1230		0.150
1231		0.165
1232		0.170
1233		0.180
1234		0.185
1235		0.185
1236		0.190
1237		0.190
1238		0.190
1239		0.190
1240		0.190
1241		0.195
1242		0.200
1243		0.205
1244		0.205
1245		0.210
1246		0.215
1247		0.215
1248		0.215
1249		0.210
1250		0.205
1251		0.200
1252		0.195
1253		0.190
1254		0.185
1255		0.185
1256		0.180
1257		0.175
1258		0.170
1259		0.160
1260		0.150
1261		0.135
1262		0.120
1263		0.105
1264		0.090
1265		0.075
1266		0.065
1267		0.055
1268		0.050
1269		0.045
1270		0.045
1271		0.040
1272		0.030
1273		0.025
1274		0.015
1275		0.005
1276		-0.005
1277		-0.015
1278		-0.020
1279		-0.025
1280		-0.030
1281		-0.030
1282		-0.035
1283		-0.035
1284		-0.040
1285		-0.050
1286		-0.055
1287		-0.060
1288		-0.065
1289		-0.065
1290		-0.065
1291		-0.065
1292		-0.060
1293		-0.060
1294		-0.060
1295		-0.065
1296		-0.070
1297		-0.075
1298		-0.080
1299		-0.090
1300		-0.090
1301		-0.090
1302		-0.090
1303		-0.085
1304		-0.080
1305		-0.075
1306		-0.075
1307		-0.075
1308		-0.080
1309		-0.085
1310		-0.090
1311		-0.095
1312		-0.100
1313		-0.100
1314		-0.100
1315		-0.100
1316		-0.090
1317		-0.085
1318		-0.075
1319		-0.070
1320		-0.065
1321		-0.060
1322		-0.065
1323		-0.065
1324		-0.070
1325		-0.075
1326		-0.080
1327		-0.085
1328		-0.085
1329		-0.090
1330		-0.090
1331		-0.090
1332		-0.085
1333		-0.085
1334		-0.080
1335		-0.080
1336		-0.075
1337		-0.075
1338		-0.070
1339		-0.070
1340		-0.070
1341		-0.070
1342		-0.075
1343		-0.075
1344		-0.080
1345		-0.085
1346		-0.085
1347		-0.085
1348		-0.085
1349		-0.085
1350		-0.080
1351		-0.080
1352		-0.075
1353		-0.075
1354		-0.075
1355		-0.075
1356		-0.075
1357		-0.080
1358		-0.080
1359		-0.080
1360		-0.080
1361		-0.080
1362		-0.080
1363		-0.080
1364		-0.080
1365		-0.085
1366		-0.090
1367		-0.090
1368		-0.095
1369		-0.095
1370		-0.100
1371		-0.100
1372		-0.100
1373		-0.095
1374		-0.095
1375		-0.095
1376		-0.090
1377		-0.090
1378		-0.090
1379		-0.090
1380		-0.090
1381		-0.095
1382		-0.095
1383		-0.095
1384		-0.090
1385		-0.090
1386		-0.085
1387		-0.080
1388		-0.075
1389		-0.070
1390		-0.070
1391		-0.065
1392		-0.065
1393		-0.065
1394		-0.070
1395		-0.075
1396		-0.080
1397		-0.090
1398		-0.095
1399		-0.095
1400		-0.100
1401		-0.095
1402		-0.095
1403		-0.090
1404		-0.080
1405		-0.080
1406		-0.075
1407		-0.075
1408		-0.075
1409		-0.080
1410		-0.085
1411		-0.085
1412		-0.090
1413		-0.095
1414		-0.095
1415		-0.095
1416		-0.095
1417		-0.095
1418		-0.095
1419		-0.095
1420		-0.095
1421		-0.100
1422		-0.100
1423		-0.100
1424		-0.100
1425		-0.100
1426		-0.100
1427		-0.100
1428		-0.100
1429		-0.100
1430		-0.095
1431		-0.095
1432		-0.095
1433		-0.090
1434		-0.085
1435		-0.085
1436		-0.080
1437		-0.075
1438		-0.075
1439		-0.070
1440		-0.070
1441		-0.075
1442		-0.075
1443		-0.080
1444		-0.085
1445		-0.090
1446		-0.090
1447		-0.090
1448		-0.090
1449		-0.090
1450		-0.085
1451		-0.085
1452		-0.080
1453		-0.080
1454		-0.080
1455		-0.080
1456		-0.080
1457		-0.080
1458		-0.085
1459		-0.085
1460		-0.085
1461		-0.080
1462		-0.080
1463		-0.080
1464		-0.075
1465		-0.075
1466		-0.070
1467		-0.070
1468		-0.065
1469		-0.065
1470		-0.065
1471		-0.065
1472		-0.065
1473		-0.065
1474		-0.070
1475		-0.075
1476		-0.080
1477		-0.080
1478		-0.085
1479		-0.085
1480		-0.085
1481		-0.080
1482		-0.075
1483		-0.075
1484		-0.070
1485		-0.070
1486		-0.070
1487		-0.070
1488		-0.070
1489		-0.070
1490		-0.070
1491		-0.065
1492		-0.065
1493		-0.060
1494		-0.060
1495		-0.055
1496		-0.055
1497		-0.055
1498		-0.055
1499		-0.055
1500		-0.055
1501		-0.055
1502		-0.055
1503		-0.055
1504		-0.050
1505		-0.050
1506		-0.045
1507		-0.045
1508		-0.040
1509		-0.040
1510		-0.035
1511		-0.030
1512		-0.025
1513		-0.020
1514		-0.020
1515		-0.015
1516		-0.010
1517		-0.005
1518		-0.005
1519		-0.005
1520		-0.005
1521		-0.005
1522		-0.005
1523		-0.010
1524		-0.010
1525		-0.010
1526		-0.010
1527		-0.010
1528		-0.010
1529		-0.010
1530		-0.010
1531		-0.015
1532		-0.015
1533		-0.020
1534		-0.025
1535		-0.030
1536		-0.040
1537		-0.045
1538		-0.055
1539		-0.060
1540		-0.070
1541		-0.075
1542		-0.075
1543		-0.080
1544		-0.080
1545		-0.075
1546		-0.070
1547		-0.070
1548		-0.065
1549		-0.060
1550		-0.060
1551		-0.055
1552		-0.055
1553		-0.060
1554		-0.060
1555		-0.065
1556		-0.065
1557		-0.070
1558		-0.075
1559		-0.075
1560		-0.080
1561		-0.085
1562		-0.085
1563		-0.085
1564		-0.085
1565		-0.085
1566		-0.085
1567		-0.085
1568		-0.085
1569		-0.085
1570		-0.085
1571		-0.085
1572		-0.085
1573		-0.080
1574		-0.080
1575		-0.075
1576		-0.075
1577		-0.070
1578		-0.070
1579		-0.070
1580		-0.075
1581		-0.080
1582		-0.085
1583		-0.090
1584		-0.095
1585		-0.095
1586		-0.090
1587		-0.080
1588		-0.060
1589		-0.030
1590		0.015
1591		0.070
1592		0.135
1593		0.215
1594		0.305
1595		0.395
1596		0.485
1597		0.560
1598		0.625
1599		0.665
1600		0.670
1601		0.650
1602		0.590
1603		0.505
1604		0.400
1605		0.280
1606		0.165
1607		0.055
1608		-0.035
1609		-0.100
1610		-0.135
1611		-0.150
1612		-0.150
1613		-0.135
1614		-0.110
1615		-0.090
1616		-0.075
1617		-0.060
1618		-0.050
1619		-0.045
1620		-0.045
1621		-0.040
1622		-0.035
1623		-0.030
1624		-0.025
1625		-0.020
1626		-0.015
1627		-0.015
1628		-0.015
1629		-0.020
1630		-0.020
1631		-0.025
1632		-0.025
1633		-0.025
1634		-0.025
1635		-0.025
1636		-0.025
1637		-0.020
1638		-0.025
1639		-0.025
1640		-0.025
1641		-0.025
1642		-0.020
1643		-0.020
1644		-0.015
1645		-0.015
1646		-0.010
1647		-0.010
1648		-0.005
1649		-0.005
1650		-0.005
1651		-0.005
1652		-0.010
1653		-0.010
1654		-0.010
1655		-0.005
1656		-0.010
1657		-0.010
1658		-0.010
1659		-0.010
1660		-0.010
1661		-0.010
1662		-0.010
1663		-0.010
1664		-0.005
1665		0.000
1666		0.005
1667		0.010
1668		0.015
1669		0.015
1670		0.020
1671		0.020
1672		0.025
1673		0.025
1674		0.030
1675		0.035
1676		0.040
1677		0.050
1678		0.055
1679		0.060
1680		0.060
1681		0.065
1682		0.065
1683		0.065
1684		0.065
1685		0.065
1686		0.070
1687		0.075
1688		0.085
1689		0.090
1690		0.095
1691		0.105
1692		0.110
1693		0.115
1694		0.120
1695		0.125
1696		0.130
1697		0.135
1698		0.145
1699		0.150
1700		0.160
1701		0.165
1702		0.175
1703		0.180
1704		0.185
1705		0.185
1706		0.190
1707		0.195
1708		0.195
1709		0.200
1710		0.205
1711		0.210
1712		0.210
1713		0.215
1714		0.220
1715		0.225
1716		0.225
1717		0.225
1718		0.220
1719		0.215
1720		0.205
1721		0.195
1722		0.180
1723		0.170
1724		0.155
1725		0.145
1726		0.140
1727		0.135
1728		0.135
1729		0.135
1730		0.135
1731		0.130
1732		0.125
1733		0.115
1734		0.100
1735		0.080
1736		0.065
1737		0.045
1738		0.030
1739		0.020
1740		0.015
1741		0.015
1742		0.015
1743		0.015
1744		0.015
1745		0.015
1746		0.010
1747		0.000
1748		-0.005
1749		-0.015
1750		-0.025
1751		-0.025
1752		-0.030
1753		-0.030
1754		-0.030
1755		-0.030
1756		-0.030
1757		-0.030
1758		-0.030
1759		-0.035
1760		-0.035
1761		-0.040
1762		-0.045
1763		-0.050
1764		-0.050
1765		-0.050
1766		-0.050
1767		-0.050
1768		-0.050
1769		-0.045
1770		-0.045
1771		-0.045
1772		-0.050
1773		-0.050
1774		-0.055
1775		-0.055
1776		-0.055
1777		-0.055
1778		-0.055
1779		-0.050
1780		-0.050
1781		-0.045
1782		-0.040
1783		-0.035
1784		-0.030
1785		-0.030
1786		-0.035
1787		-0.040
1788		-0.045
1789		-0.050
1790		-0.055
1791		-0.060
1792		-0.060
1793		-0.065
1794		-0.065
1795		-0.065
1796		-0.065
1797		-0.060
1798		-0.055
1799		-0.050
1800		-0.050
1801		-0.045
1802		-0.045
1803		-0.045
1804		-0.045
1805		-0.050
1806		-0.050
1807		-0.055
1808		-0.055
1809		-0.055
1810		-0.055
1811		-0.050
1812		-0.040
1813		-0.030
1814		-0.025
1815		-0.020
1816		-0.015
1817		-0.015
1818		-0.020
1819		-0.025
1820		-0.030
1821		-0.040
1822		-0.045
1823		-0.045
1824		-0.045
1825		-0.045
1826		-0.040
1827		-0.035
1828		-0.030
1829		-0.030
1830		-0.025
1831		-0.025
1832		-0.025
1833		-0.025
1834		-0.030
1835		-0.030
1836		-0.035
1837		-0.035
1838		-0.040
1839		-0.040
1840		-0.045
1841		-0.045
1842		-0.050
1843		-0.050
1844		-0.055
1845		-0.060
1846		-0.060
1847		-0.060
1848		-0.060
1849		-0.055
1850		-0.050
1851		-0.045
1852		-0.040
1853		-0.035
1854		-0.035
1855		-0.035
1856		-0.040
1857		-0.045
1858		-0.055
1859		-0.060
1860		-0.070
1861		-0.070
1862		-0.075
1863		-0.075
1864		-0.070
1865		-0.070
1866		-0.065
1867		-0.065
1868		-0.065
1869		-0.065
1870		-0.070
1871		-0.070
1872		-0.075
1873		-0.075
1874		-0.075
1875		-0.070
1876		-0.070
1877		-0.065
1878		-0.060
1879		-0.055
1880		-0.055
1881		-0.050
1882		-0.050
1883		-0.050
1884		-0.050
1885		-0.050
1886		-0.050
1887		-0.055
1888		-0.055
1889		-0.060
1890		-0.065
1891		-0.070
1892		-0.075
1893		-0.075
1894		-0.080
1895		-0.080
1896		-0.075
1897		-0.070
1898		-0.065
1899		-0.060
1900		-0.055
1901		-0.055
1902		-0.055
1903		-0.060
1904		-0.065
1905		-0.065
1906		-0.070
1907		-0.075
1908		-0.080
1909		-0.085
1910		-0.085
1911		-0.090
1912		-0.090
1913		-0.090
1914		-0.090
1915		-0.090
1916		-0.090
1917		-0.085
1918		-0.085
1919		-0.080
1920		-0.080
1921		-0.075
1922		-0.070
1923		-0.070
1924		-0.065
1925		-0.065
1926		-0.065
1927		-0.065
1928		-0.065
1929		-0.070
1930		-0.070
1931		-0.075
1932		-0.075
1933		-0.075
1934		-0.070
1935		-0.070
1936		-0.065
1937		-0.060
1938		-0.055
1939		-0.045
1940		-0.040
1941		-0.035
1942		-0.035
1943		-0.030
1944		-0.025
1945		-0.020
1946		-0.015
1947		-0.010
1948		0.000
1949		0.005
1950		0.010
1951		0.015
1952		0.020
1953		0.020
1954		0.025
1955		0.025
1956		0.030
1957		0.030
1958		0.035
1959		0.040
1960		0.045
