sample interval	   MLII
162	 -0.395
163	 -0.380
164	 -0.370
165	 -0.375
166	 -0.390
167	 -0.385
168	 -0.380
169	 -0.365
170	 -0.375
171	 -0.370
172	 -0.400
173	 -0.385
174	 -0.370
175	 -0.375
176	 -0.370
177	 -0.370
178	 -0.360
179	 -0.355
180	 -0.355
181	 -0.365
182	 -0.370
183	 -0.370
184	 -0.355
185	 -0.300
186	 -0.210
187	 -0.085
188	  0.050
189	  0.235
190	  0.400
191	  0.590
192	  0.775
193	  0.915
194	1.025
195	1.100
196	1.160
197	1.180
198	1.090
199	  0.960
200	  0.825
201	  0.710
202	  0.575
203	  0.410
204	  0.255
205	  0.145
206	  0.095
207	  0.005
208	 -0.105
209	 -0.195
210	 -0.245
211	 -0.285
212	 -0.325
213	 -0.375
214	 -0.430
215	 -0.470
216	 -0.495
217	 -0.505
218	 -0.520
219	 -0.550
220	 -0.560
221	 -0.550
222	 -0.540
223	 -0.520
224	 -0.540
225	 -0.540
226	 -0.550
227	 -0.545
228	 -0.530
229	 -0.515
230	 -0.530
231	 -0.530
232	 -0.535
233	 -0.545
234	 -0.525
235	 -0.515
236	 -0.510
237	 -0.525
238	 -0.535
239	 -0.520
240	 -0.510
241	 -0.505
242	 -0.510
243	 -0.525
244	 -0.535
245	 -0.535
246	 -0.515
247	 -0.510
248	 -0.515
249	 -0.520
250	 -0.530
251	 -0.545
252	 -0.535
253	 -0.525
254	 -0.515
255	 -0.530
256	 -0.535
257	 -0.530
258	 -0.515
259	 -0.520
260	 -0.530
261	 -0.525
262	 -0.515
263	 -0.520
264	 -0.495
265	 -0.480
266	 -0.490
267	 -0.485
268	 -0.495
269	 -0.470
270	 -0.470
271	 -0.450
272	 -0.445
273	 -0.430
274	 -0.435
275	 -0.420
276	 -0.400
277	 -0.375
278	 -0.370
279	 -0.360
280	 -0.350
281	 -0.330
282	 -0.300
283	 -0.260
284	 -0.250
285	 -0.240
286	 -0.235
287	 -0.230
288	 -0.210
289	 -0.205
290	 -0.180
291	 -0.175
292	 -0.185
293	 -0.170
294	 -0.165
295	 -0.160
296	 -0.155
297	 -0.170
298	 -0.170
299	 -0.175
300	 -0.175
301	 -0.185
302	 -0.185
303	 -0.195
304	 -0.200
305	 -0.215
306	 -0.220
307	 -0.215
308	 -0.230
309	 -0.265
310	 -0.280
311	 -0.265
312	 -0.260
313	 -0.265
314	 -0.255
315	 -0.280
316	 -0.310
317	 -0.305
318	 -0.290
319	 -0.285
320	 -0.300
321	 -0.285
322	 -0.290
323	 -0.290
324	 -0.290
325	 -0.295
326	 -0.295
327	 -0.310
328	 -0.310
329	 -0.310
330	 -0.315
331	 -0.315
332	 -0.315
333	 -0.325
334	 -0.330
335	 -0.325
336	 -0.310
337	 -0.315
338	 -0.320
339	 -0.325
340	 -0.360
341	 -0.335
342	 -0.320
343	 -0.310
344	 -0.320
345	 -0.320
346	 -0.330
347	 -0.330
348	 -0.310
349	 -0.290
350	 -0.300
351	 -0.325
352	 -0.330
353	 -0.345
354	 -0.325
355	 -0.320
356	 -0.320
357	 -0.310
358	 -0.315
359	 -0.320
360	 -0.320
361	 -0.315
362	 -0.310
363	 -0.330
364	 -0.340
365	 -0.335
366	 -0.325
367	 -0.320
368	 -0.320
369	 -0.325
370	 -0.345
371	 -0.335
372	 -0.320
373	 -0.320
374	 -0.320
375	 -0.330
376	 -0.360
377	 -0.345
378	 -0.320
379	 -0.320
380	 -0.330
381	 -0.340
382	 -0.355
383	 -0.345
384	 -0.330
385	 -0.305
386	 -0.300
387	 -0.295
388	 -0.305
389	 -0.285
390	 -0.245
391	 -0.225
392	 -0.225
393	 -0.245
394	 -0.260
395	 -0.250
396	 -0.220
397	 -0.205
398	 -0.175
399	 -0.180
400	 -0.175
401	 -0.170
402	 -0.145
403	 -0.120
404	 -0.145
405	 -0.150
406	 -0.165
407	 -0.170
408	 -0.165
409	 -0.170
410	 -0.185
411	 -0.205
412	 -0.240
413	 -0.270
414	 -0.325
415	 -0.360
416	 -0.390
417	 -0.395
418	 -0.405
419	 -0.405
420	 -0.415
421	 -0.410
422	 -0.400
423	 -0.410
424	 -0.420
425	 -0.420
426	 -0.400
427	 -0.395
428	 -0.395
429	 -0.400
430	 -0.390
431	 -0.390
432	 -0.385
433	 -0.380
434	 -0.390
435	 -0.400
436	 -0.395
437	 -0.385
438	 -0.375
439	 -0.370
440	 -0.365
441	 -0.385
442	 -0.390
443	 -0.385
444	 -0.390
445	 -0.390
446	 -0.385
447	 -0.370
448	 -0.330
449	 -0.225
450	 -0.090
451	  0.090
452	  0.270
453	  0.460
454	  0.640
455	  0.830
456	  0.980
457	1.085
458	1.175
459	1.175
460	1.065
461	  0.910
462	  0.780
463	  0.660
464	  0.530
465	  0.385
466	  0.245
467	  0.175
468	  0.155
469	  0.095
470	  0.000
471	 -0.115
472	 -0.190
473	 -0.250
474	 -0.295
475	 -0.350
476	 -0.415
477	 -0.455
478	 -0.490
479	 -0.495
480	 -0.495
481	 -0.510
482	 -0.520
483	 -0.540
484	 -0.560
485	 -0.550
486	 -0.540
487	 -0.520
488	 -0.515
489	 -0.520
490	 -0.530
491	 -0.525
492	 -0.495
493	 -0.475
494	 -0.485
495	 -0.495
496	 -0.510
497	 -0.515
498	 -0.505
499	 -0.495
500	 -0.500
501	 -0.490
502	 -0.495
503	 -0.490
504	 -0.490
505	 -0.485
506	 -0.500
507	 -0.505
508	 -0.515
509	 -0.515
510	 -0.510
511	 -0.505
512	 -0.505
513	 -0.500
514	 -0.505
515	 -0.510
516	 -0.500
517	 -0.500
518	 -0.500
519	 -0.505
520	 -0.525
521	 -0.515
522	 -0.515
523	 -0.515
524	 -0.495
525	 -0.500
526	 -0.510
527	 -0.495
528	 -0.490
529	 -0.470
530	 -0.475
531	 -0.480
532	 -0.475
533	 -0.450
534	 -0.440
535	 -0.415
536	 -0.410
537	 -0.420
538	 -0.400
539	 -0.385
540	 -0.345
541	 -0.325
542	 -0.320
543	 -0.335
544	 -0.325
545	 -0.305
546	 -0.285
547	 -0.255
548	 -0.240
549	 -0.235
550	 -0.235
551	 -0.230
552	 -0.205
553	 -0.190
554	 -0.200
555	 -0.200
556	 -0.220
557	 -0.205
558	 -0.220
559	 -0.205
560	 -0.215
561	 -0.245
562	 -0.260
563	 -0.250
564	 -0.255
565	 -0.250
566	 -0.265
567	 -0.280
568	 -0.300
569	 -0.295
570	 -0.300
571	 -0.300
572	 -0.305
573	 -0.310
574	 -0.330
575	 -0.330
576	 -0.320
577	 -0.315
578	 -0.320
579	 -0.330
580	 -0.345
581	 -0.345
582	 -0.340
583	 -0.335
584	 -0.335
585	 -0.340
586	 -0.355
587	 -0.340
588	 -0.345
589	 -0.340
590	 -0.350
591	 -0.350
592	 -0.365
593	 -0.365
594	 -0.350
595	 -0.335
596	 -0.335
597	 -0.350
598	 -0.360
599	 -0.370
600	 -0.360
601	 -0.345
602	 -0.350
603	 -0.365
604	 -0.365
605	 -0.370
606	 -0.355
607	 -0.355
608	 -0.360
609	 -0.365
610	 -0.365
611	 -0.355
612	 -0.335
613	 -0.340
614	 -0.355
615	 -0.375
616	 -0.385
617	 -0.375
618	 -0.360
619	 -0.350
620	 -0.355
621	 -0.365
622	 -0.375
623	 -0.370
624	 -0.360
625	 -0.355
626	 -0.355
627	 -0.365
628	 -0.365
629	 -0.355
630	 -0.335
631	 -0.325
632	 -0.335
633	 -0.360
634	 -0.375
635	 -0.355
636	 -0.335
637	 -0.320
638	 -0.320
639	 -0.290
640	 -0.300
641	 -0.275
642	 -0.250
643	 -0.220
644	 -0.240
645	 -0.255
646	 -0.245
647	 -0.215
648	 -0.180
649	 -0.170
650	 -0.165
651	 -0.145
652	 -0.135
653	 -0.125
654	 -0.115
655	 -0.105
656	 -0.115
657	 -0.130
658	 -0.170
659	 -0.170
660	 -0.180
661	 -0.180
662	 -0.210
663	 -0.255
664	 -0.315
665	 -0.350
666	 -0.370
667	 -0.375
668	 -0.370
669	 -0.390
670	 -0.405
671	 -0.400
672	 -0.390
673	 -0.375
674	 -0.380
675	 -0.385
676	 -0.405
677	 -0.385
678	 -0.375
679	 -0.375
680	 -0.380
681	 -0.375
682	 -0.380
683	 -0.370
684	 -0.355
685	 -0.350
686	 -0.355
687	 -0.365
688	 -0.375
689	 -0.360
690	 -0.350
691	 -0.340
692	 -0.340
693	 -0.355
694	 -0.380
695	 -0.380
696	 -0.360
697	 -0.320
698	 -0.230
699	 -0.100
700	  0.055
701	  0.240
702	  0.415
703	  0.610
704	  0.775
705	  0.925
706	1.030
707	1.105
708	1.155
709	1.140
710	1.035
711	  0.885
712	  0.755
713	  0.650
714	  0.540
715	  0.370
716	  0.190
717	  0.080
718	 -0.015
719	 -0.080
720	 -0.175
721	 -0.245
722	 -0.305
723	 -0.365
724	 -0.410
725	 -0.450
726	 -0.470
727	 -0.490
728	 -0.495
729	 -0.535
730	 -0.560
731	 -0.570
732	 -0.565
733	 -0.555
734	 -0.560
735	 -0.565
736	 -0.585
737	 -0.570
738	 -0.555
739	 -0.550
740	 -0.545
741	 -0.555
742	 -0.570
743	 -0.560
744	 -0.550
745	 -0.545
746	 -0.525
747	 -0.530
748	 -0.545
749	 -0.535
750	 -0.530
751	 -0.530
752	 -0.520
753	 -0.525
754	 -0.535
755	 -0.535
756	 -0.525
757	 -0.535
758	 -0.525
759	 -0.530
760	 -0.550
761	 -0.535
762	 -0.530
763	 -0.520
764	 -0.535
765	 -0.545
766	 -0.550
767	 -0.540
768	 -0.525
769	 -0.525
770	 -0.535
771	 -0.540
772	 -0.530
773	 -0.520
774	 -0.510
775	 -0.500
776	 -0.505
777	 -0.515
778	 -0.520
779	 -0.510
780	 -0.505
781	 -0.495
782	 -0.480
783	 -0.475
784	 -0.475
785	 -0.455
786	 -0.425
787	 -0.400
788	 -0.410
789	 -0.405
790	 -0.400
791	 -0.385
792	 -0.370
793	 -0.345
794	 -0.315
795	 -0.310
796	 -0.315
797	 -0.290
798	 -0.260
799	 -0.250
800	 -0.235
801	 -0.230
802	 -0.240
803	 -0.225
804	 -0.220
805	 -0.205
806	 -0.200
807	 -0.180
808	 -0.185
809	 -0.180
810	 -0.185
811	 -0.170
812	 -0.190
813	 -0.210
814	 -0.225
815	 -0.230
816	 -0.215
817	 -0.215
818	 -0.230
819	 -0.250
820	 -0.260
821	 -0.270
822	 -0.255
823	 -0.255
824	 -0.265
825	 -0.275
826	 -0.275
827	 -0.280
828	 -0.285
829	 -0.270
830	 -0.270
831	 -0.295
832	 -0.300
833	 -0.310
834	 -0.310
835	 -0.295
836	 -0.295
837	 -0.295
838	 -0.315
839	 -0.315
840	 -0.325
841	 -0.315
842	 -0.315
843	 -0.315
844	 -0.325
845	 -0.335
846	 -0.330
847	 -0.330
848	 -0.320
849	 -0.320
850	 -0.325
851	 -0.325
852	 -0.310
853	 -0.310
854	 -0.315
855	 -0.305
856	 -0.310
857	 -0.320
858	 -0.320
859	 -0.320
860	 -0.320
861	 -0.320
862	 -0.330
863	 -0.320
864	 -0.315
865	 -0.305
866	 -0.315
867	 -0.315
868	 -0.340
869	 -0.335
870	 -0.325
871	 -0.315
872	 -0.310
873	 -0.330
874	 -0.340
875	 -0.320
876	 -0.305
877	 -0.295
878	 -0.300
879	 -0.315
880	 -0.330
881	 -0.330
882	 -0.310
883	 -0.295
884	 -0.300
885	 -0.320
886	 -0.330
887	 -0.325
888	 -0.310
889	 -0.295
890	 -0.310
891	 -0.320
892	 -0.315
893	 -0.295
894	 -0.280
895	 -0.265
896	 -0.245
897	 -0.245
898	 -0.245
899	 -0.240
900	 -0.220
901	 -0.215
902	 -0.230
903	 -0.210
904	 -0.195
905	 -0.180
906	 -0.160
907	 -0.135
908	 -0.125
909	 -0.130
910	 -0.130
911	 -0.120
912	 -0.095
913	 -0.105
914	 -0.105
915	 -0.130
916	 -0.150
917	 -0.140
918	 -0.145
919	 -0.170
920	 -0.230
921	 -0.280
922	 -0.325
923	 -0.340
924	 -0.340
925	 -0.335
926	 -0.360
927	 -0.365
928	 -0.375
929	 -0.370
930	 -0.355
931	 -0.340
932	 -0.345
933	 -0.350
934	 -0.345
935	 -0.350
936	 -0.350
937	 -0.330
938	 -0.315
939	 -0.325
940	 -0.340
941	 -0.330
942	 -0.335
943	 -0.315
944	 -0.310
945	 -0.310
946	 -0.320
947	 -0.315
948	 -0.305
949	 -0.305
950	 -0.315
951	 -0.325
952	 -0.335
953	 -0.330
954	 -0.275
955	 -0.165
956	 -0.010
957	  0.185
958	  0.355
959	  0.560
960	  0.770
961	  0.945
962	1.050
963	1.140
964	1.180
965	1.140
966	1.035
967	  0.895
968	  0.770
969	  0.675
970	  0.570
971	  0.460
972	  0.310
973	  0.170
974	  0.065
975	 -0.030
976	 -0.110
977	 -0.195
978	 -0.270
979	 -0.330
980	 -0.365
981	 -0.420
982	 -0.485
983	 -0.500
984	 -0.510
985	 -0.500
986	 -0.505
987	 -0.515
988	 -0.535
989	 -0.545
990	 -0.540
991	 -0.540
992	 -0.540
993	 -0.535
994	 -0.520
995	 -0.515
996	 -0.515
997	 -0.510
998	 -0.510
999	 -0.505
1000	 -0.500
1001	 -0.495
1002	 -0.490
1003	 -0.490
1004	 -0.495
1005	 -0.495
1006	 -0.485
1007	 -0.465
1008	 -0.470
1009	 -0.470
1010	 -0.475
1011	 -0.495
1012	 -0.490
1013	 -0.470
1014	 -0.470
1015	 -0.485
1016	 -0.480
1017	 -0.500
1018	 -0.485
1019	 -0.475
1020	 -0.485
1021	 -0.480
1022	 -0.490
1023	 -0.495
1024	 -0.505
1025	 -0.510
1026	 -0.475
1027	 -0.480
1028	 -0.485
1029	 -0.500
1030	 -0.495
1031	 -0.485
1032	 -0.475
1033	 -0.465
1034	 -0.470
1035	 -0.485
1036	 -0.465
1037	 -0.450
1038	 -0.425
1039	 -0.420
1040	 -0.400
1041	 -0.415
1042	 -0.395
1043	 -0.385
1044	 -0.380
1045	 -0.375
1046	 -0.370
1047	 -0.370
1048	 -0.345
1049	 -0.315
1050	 -0.285
1051	 -0.280
1052	 -0.255
1053	 -0.260
1054	 -0.235
1055	 -0.215
1056	 -0.195
1057	 -0.190
1058	 -0.180
1059	 -0.175
1060	 -0.165
1061	 -0.155
1062	 -0.140
1063	 -0.145
1064	 -0.150
1065	 -0.155
1066	 -0.175
1067	 -0.175
1068	 -0.160
1069	 -0.175
1070	 -0.200
1071	 -0.215
1072	 -0.220
1073	 -0.215
1074	 -0.225
1075	 -0.230
1076	 -0.230
1077	 -0.240
1078	 -0.235
1079	 -0.240
1080	 -0.245
1081	 -0.255
1082	 -0.245
1083	 -0.245
1084	 -0.255
1085	 -0.245
1086	 -0.240
1087	 -0.255
1088	 -0.265
1089	 -0.280
1090	 -0.275
1091	 -0.270
1092	 -0.260
1093	 -0.260
1094	 -0.270
1095	 -0.280
1096	 -0.285
1097	 -0.280
1098	 -0.270
1099	 -0.270
1100	 -0.275
1101	 -0.270
1102	 -0.270
1103	 -0.270
1104	 -0.265
1105	 -0.255
1106	 -0.275
1107	 -0.290
1108	 -0.280
1109	 -0.270
1110	 -0.280
1111	 -0.285
1112	 -0.280
1113	 -0.280
1114	 -0.275
1115	 -0.275
1116	 -0.260
1117	 -0.265
1118	 -0.280
1119	 -0.285
1120	 -0.280
1121	 -0.270
1122	 -0.250
1123	 -0.270
1124	 -0.290
1125	 -0.280
1126	 -0.290
1127	 -0.265
1128	 -0.260
1129	 -0.255
1130	 -0.270
1131	 -0.285
1132	 -0.285
1133	 -0.275
1134	 -0.260
1135	 -0.270
1136	 -0.265
1137	 -0.280
1138	 -0.280
1139	 -0.260
1140	 -0.265
1141	 -0.275
1142	 -0.280
1143	 -0.295
1144	 -0.275
1145	 -0.250
1146	 -0.245
1147	 -0.255
1148	 -0.270
1149	 -0.285
1150	 -0.285
1151	 -0.265
1152	 -0.240
1153	 -0.235
1154	 -0.225
1155	 -0.205
1156	 -0.170
1157	 -0.145
1158	 -0.150
1159	 -0.180
1160	 -0.175
1161	 -0.170
1162	 -0.130
1163	 -0.100
1164	 -0.085
1165	 -0.090
1166	 -0.075
1167	 -0.085
1168	 -0.090
1169	 -0.075
1170	 -0.055
1171	 -0.065
1172	 -0.075
1173	 -0.090
1174	 -0.110
1175	 -0.110
1176	 -0.120
1177	 -0.130
1178	 -0.190
1179	 -0.260
1180	 -0.300
1181	 -0.325
1182	 -0.330
1183	 -0.335
1184	 -0.340
1185	 -0.335
1186	 -0.330
1187	 -0.340
1188	 -0.340
1189	 -0.335
1190	 -0.335
1191	 -0.340
1192	 -0.325
1193	 -0.335
1194	 -0.325
1195	 -0.320
1196	 -0.325
1197	 -0.325
1198	 -0.325
1199	 -0.310
1200	 -0.295
1201	 -0.305
1202	 -0.305
1203	 -0.305
1204	 -0.280
1205	 -0.270
1206	 -0.275
1207	 -0.290
1208	 -0.315
1209	 -0.310
1210	 -0.290
1211	 -0.245
1212	 -0.160
1213	 -0.045
1214	  0.115
1215	  0.300
1216	  0.515
1217	  0.740
1218	  0.935
1219	1.075
1220	1.195
1221	1.235
1222	1.195
1223	1.080
1224	  0.960
1225	  0.835
1226	  0.740
1227	  0.625
1228	  0.465
1229	  0.310
1230	  0.215
1231	  0.140
1232	  0.025
1233	 -0.080
1234	 -0.160
1235	 -0.230
1236	 -0.270
1237	 -0.325
1238	 -0.385
1239	 -0.445
1240	 -0.460
1241	 -0.460
1242	 -0.485
1243	 -0.485
1244	 -0.495
1245	 -0.500
1246	 -0.495
1247	 -0.510
1248	 -0.515
1249	 -0.505
1250	 -0.495
1251	 -0.495
1252	 -0.495
1253	 -0.475
1254	 -0.475
1255	 -0.480
1256	 -0.485
1257	 -0.490
1258	 -0.500
1259	 -0.485
1260	 -0.470
1261	 -0.470
1262	 -0.465
1263	 -0.470
1264	 -0.465
1265	 -0.465
1266	 -0.480
1267	 -0.475
1268	 -0.480
1269	 -0.480
1270	 -0.480
1271	 -0.465
1272	 -0.470
1273	 -0.470
1274	 -0.475
1275	 -0.485
1276	 -0.465
1277	 -0.460
1278	 -0.455
1279	 -0.450
1280	 -0.460
1281	 -0.480
1282	 -0.460
1283	 -0.450
1284	 -0.440
1285	 -0.445
1286	 -0.450
1287	 -0.465
1288	 -0.465
1289	 -0.465
1290	 -0.455
1291	 -0.440
1292	 -0.430
1293	 -0.435
1294	 -0.420
1295	 -0.410
1296	 -0.390
1297	 -0.370
1298	 -0.365
1299	 -0.360
1300	 -0.330
1301	 -0.315
1302	 -0.295
1303	 -0.275
1304	 -0.280
1305	 -0.270
1306	 -0.240
1307	 -0.220
1308	 -0.200
1309	 -0.185
1310	 -0.180
1311	 -0.175
1312	 -0.160
1313	 -0.135
1314	 -0.115
1315	 -0.125
1316	 -0.130
1317	 -0.155
1318	 -0.150
1319	 -0.140
1320	 -0.135
1321	 -0.140
1322	 -0.160
1323	 -0.175
1324	 -0.175
1325	 -0.180
1326	 -0.170
1327	 -0.185
1328	 -0.200
1329	 -0.215
1330	 -0.220
1331	 -0.225
1332	 -0.235
1333	 -0.235
1334	 -0.240
1335	 -0.250
1336	 -0.250
1337	 -0.240
1338	 -0.235
1339	 -0.250
1340	 -0.250
1341	 -0.280
1342	 -0.270
1343	 -0.270
1344	 -0.260
1345	 -0.275
1346	 -0.275
1347	 -0.300
1348	 -0.285
1349	 -0.275
1350	 -0.265
1351	 -0.270
1352	 -0.280
1353	 -0.295
1354	 -0.290
1355	 -0.285
1356	 -0.265
1357	 -0.285
1358	 -0.295
1359	 -0.295
1360	 -0.310
1361	 -0.290
1362	 -0.280
1363	 -0.285
1364	 -0.290
1365	 -0.290
1366	 -0.295
1367	 -0.290
1368	 -0.285
1369	 -0.290
1370	 -0.285
1371	 -0.310
1372	 -0.300
1373	 -0.305
1374	 -0.295
1375	 -0.290
1376	 -0.290
1377	 -0.290
1378	 -0.295
1379	 -0.300
1380	 -0.280
1381	 -0.280
1382	 -0.285
1383	 -0.300
1384	 -0.290
1385	 -0.285
1386	 -0.275
1387	 -0.270
1388	 -0.275
1389	 -0.300
1390	 -0.290
1391	 -0.275
1392	 -0.275
1393	 -0.270
1394	 -0.285
1395	 -0.295
1396	 -0.285
1397	 -0.280
1398	 -0.265
1399	 -0.270
1400	 -0.270
1401	 -0.270
1402	 -0.275
1403	 -0.255
1404	 -0.255
1405	 -0.255
1406	 -0.265
1407	 -0.270
1408	 -0.225
1409	 -0.205
1410	 -0.195
1411	 -0.185
1412	 -0.195
1413	 -0.200
1414	 -0.195
1415	 -0.175
1416	 -0.145
1417	 -0.130
1418	 -0.130
1419	 -0.125
1420	 -0.110
1421	 -0.095
1422	 -0.060
1423	 -0.070
1424	 -0.075
1425	 -0.105
1426	 -0.100
1427	 -0.085
1428	 -0.085
1429	 -0.090
1430	 -0.115
1431	 -0.130
1432	 -0.155
1433	 -0.180
1434	 -0.220
1435	 -0.275
1436	 -0.305
1437	 -0.355
1438	 -0.350
1439	 -0.335
1440	 -0.330
1441	 -0.340
1442	 -0.350
1443	 -0.370
1444	 -0.345
1445	 -0.340
1446	 -0.330
1447	 -0.330
1448	 -0.340
1449	 -0.340
1450	 -0.330
1451	 -0.325
1452	 -0.320
1453	 -0.320
1454	 -0.330
1455	 -0.340
1456	 -0.320
1457	 -0.305
1458	 -0.295
1459	 -0.290
1460	 -0.300
1461	 -0.320
1462	 -0.300
1463	 -0.310
1464	 -0.310
1465	 -0.315
1466	 -0.310
1467	 -0.300
1468	 -0.235
1469	 -0.140
1470	  0.000
1471	  0.180
1472	  0.365
1473	  0.555
1474	  0.755
1475	  0.940
1476	1.075
1477	1.160
1478	1.210
1479	1.165
1480	1.065
1481	  0.940
1482	  0.835
1483	  0.755
1484	  0.655
1485	  0.525
1486	  0.360
1487	  0.220
1488	  0.135
1489	  0.070
1490	 -0.020
1491	 -0.130
1492	 -0.215
1493	 -0.275
1494	 -0.315
1495	 -0.360
1496	 -0.410
1497	 -0.445
1498	 -0.455
1499	 -0.465
1500	 -0.465
1501	 -0.470
1502	 -0.485
1503	 -0.495
1504	 -0.505
1505	 -0.500
1506	 -0.495
1507	 -0.500
1508	 -0.495
1509	 -0.500
1510	 -0.495
1511	 -0.480
1512	 -0.470
1513	 -0.475
1514	 -0.470
1515	 -0.485
1516	 -0.475
1517	 -0.465
1518	 -0.465
1519	 -0.470
1520	 -0.495
1521	 -0.495
1522	 -0.485
1523	 -0.475
1524	 -0.470
1525	 -0.480
1526	 -0.485
1527	 -0.505
1528	 -0.495
1529	 -0.475
1530	 -0.460
1531	 -0.465
1532	 -0.480
1533	 -0.485
1534	 -0.495
1535	 -0.475
1536	 -0.485
1537	 -0.485
1538	 -0.475
1539	 -0.495
1540	 -0.505
1541	 -0.490
1542	 -0.485
1543	 -0.470
1544	 -0.470
1545	 -0.470
1546	 -0.485
1547	 -0.465
1548	 -0.465
1549	 -0.465
1550	 -0.460
1551	 -0.450
1552	 -0.455
1553	 -0.430
1554	 -0.410
1555	 -0.410
1556	 -0.410
1557	 -0.405
1558	 -0.380
1559	 -0.350
1560	 -0.340
1561	 -0.330
1562	 -0.325
1563	 -0.300
1564	 -0.270
1565	 -0.245
1566	 -0.240
1567	 -0.225
1568	 -0.230
1569	 -0.230
1570	 -0.210
1571	 -0.195
1572	 -0.175
1573	 -0.175
1574	 -0.175
1575	 -0.175
1576	 -0.170
1577	 -0.155
1578	 -0.140
1579	 -0.155
1580	 -0.175
1581	 -0.190
1582	 -0.180
1583	 -0.195
1584	 -0.205
1585	 -0.200
1586	 -0.205
1587	 -0.230
1588	 -0.230
1589	 -0.225
1590	 -0.210
1591	 -0.225
1592	 -0.240
1593	 -0.245
1594	 -0.250
1595	 -0.245
1596	 -0.245
1597	 -0.245
1598	 -0.260
1599	 -0.280
1600	 -0.290
1601	 -0.280
1602	 -0.260
1603	 -0.260
1604	 -0.285
1605	 -0.295
1606	 -0.285
1607	 -0.280
1608	 -0.265
1609	 -0.270
1610	 -0.275
1611	 -0.305
1612	 -0.300
1613	 -0.295
1614	 -0.275
1615	 -0.280
1616	 -0.295
1617	 -0.300
1618	 -0.295
1619	 -0.290
1620	 -0.285
1621	 -0.290
1622	 -0.300
1623	 -0.300
1624	 -0.290
1625	 -0.285
1626	 -0.295
1627	 -0.280
1628	 -0.285
1629	 -0.295
1630	 -0.285
1631	 -0.290
1632	 -0.275
1633	 -0.285
1634	 -0.305
1635	 -0.305
1636	 -0.305
1637	 -0.285
1638	 -0.285
1639	 -0.290
1640	 -0.295
1641	 -0.305
1642	 -0.305
1643	 -0.295
1644	 -0.285
1645	 -0.280
1646	 -0.280
1647	 -0.295
1648	 -0.290
1649	 -0.285
1650	 -0.275
1651	 -0.285
1652	 -0.280
1653	 -0.295
1654	 -0.290
1655	 -0.290
1656	 -0.285
1657	 -0.280
1658	 -0.290
1659	 -0.300
1660	 -0.275
1661	 -0.275
1662	 -0.275
1663	 -0.275
1664	 -0.290
1665	 -0.285
1666	 -0.270
1667	 -0.265
1668	 -0.245
1669	 -0.230
1670	 -0.220
1671	 -0.220
1672	 -0.210
1673	 -0.180
1674	 -0.180
1675	 -0.190
1676	 -0.190
1677	 -0.190
