sample interval	   ECG1	   ECG2
            405	 -0.035	 -0.085
            406	 -0.055	 -0.085
            407	 -0.045	 -0.065
            408	 -0.025	 -0.045
            409	 -0.025	 -0.125
            410	 -0.035	 -0.085
            411	 -0.035	 -0.095
            412	 -0.035	 -0.085
            413	 -0.035	 -0.065
            414	 -0.035	 -0.105
            415	 -0.025	 -0.095
            416	 -0.025	 -0.065
            417	 -0.035	 -0.075
            418	 -0.015	 -0.095
            419	 -0.025	 -0.105
            420	  0.005	 -0.035
            421	  0.035	 -0.055
            422	  0.045	 -0.085
            423	  0.055	 -0.045
            424	  0.075	 -0.005
            425	  0.085	 -0.065
            426	  0.145	 -0.115
            427	  0.095	 -0.115
            428	  0.065	 -0.145
            429	  0.055	 -0.165
            430	  0.035	 -0.185
            431	  0.005	 -0.095
            432	 -0.035	 -0.115
            433	 -0.065	 -0.115
            434	 -0.045	 -0.115
            435	 -0.055	 -0.135
            436	 -0.045	 -0.105
            437	 -0.045	 -0.105
            438	 -0.055	 -0.095
            439	 -0.055	 -0.115
            440	 -0.045	 -0.095
            441	 -0.085	 -0.115
            442	 -0.025	 -0.005
            443	  0.375	 -0.165
            444	  0.865	 -0.695
            445	  1.055	 -1.165
            446	  0.415	 -1.205
            447	  0.025	 -0.625
            448	 -0.035	 -0.275
            449	 -0.025	 -0.115
            450	 -0.045	  0.005
            451	 -0.085	  0.035
            452	 -0.105	  0.045
            453	 -0.105	  0.045
            454	 -0.115	  0.055
            455	 -0.095	  0.035
            456	 -0.085	  0.005
            457	 -0.085	  0.045
            458	 -0.075	  0.055
            459	 -0.075	  0.045
            460	 -0.055	  0.045
            461	 -0.035	  0.055
            462	 -0.055	  0.065
            463	 -0.025	  0.065
            464	 -0.025	  0.045
            465	 -0.015	  0.065
            466	  0.015	  0.075
            467	  0.035	  0.065
            468	  0.045	  0.085
            469	  0.055	  0.095
            470	  0.075	  0.045
            471	  0.125	  0.055
            472	  0.145	  0.115
            473	  0.155	  0.045
            474	  0.185	  0.025
            475	  0.205	  0.065
            476	  0.225	  0.025
            477	  0.225	 -0.005
            478	  0.195	 -0.005
            479	  0.165	 -0.035
            480	  0.125	 -0.045
            481	  0.065	 -0.085
            482	  0.025	 -0.085
            483	  0.005	 -0.075
            484	 -0.025	 -0.085
            485	 -0.015	 -0.055
            486	 -0.035	 -0.065
            487	 -0.035	 -0.105
            488	 -0.035	 -0.085
            489	 -0.035	 -0.075
            490	 -0.035	 -0.075
            491	 -0.045	 -0.065
            492	 -0.035	 -0.065
            493	 -0.025	 -0.085
            494	 -0.045	 -0.075
            495	 -0.035	 -0.095
            496	 -0.025	 -0.065
            497	 -0.055	 -0.105
            498	 -0.015	 -0.085
            499	 -0.025	 -0.105
            500	 -0.045	 -0.095
            501	 -0.045	 -0.085
            502	 -0.035	 -0.105
            503	 -0.065	 -0.105
            504	 -0.035	 -0.125
            505	 -0.065	 -0.105
            506	 -0.045	 -0.105
            507	 -0.055	 -0.095
            508	 -0.045	 -0.105
            509	 -0.055	 -0.095
            510	 -0.065	 -0.125
            511	 -0.045	 -0.105
            512	 -0.055	 -0.085
            513	 -0.065	 -0.135
            514	 -0.055	 -0.105
            515	 -0.025	 -0.095
            516	  0.005	 -0.065
            517	 -0.005	 -0.045
            518	  0.015	 -0.065
            519	  0.035	 -0.045
            520	  0.085	 -0.115
            521	  0.075	 -0.175
            522	  0.025	 -0.175
            523	  0.015	 -0.195
            524	 -0.015	 -0.185
            525	 -0.025	 -0.165
            526	 -0.035	 -0.145
            527	 -0.075	 -0.125
            528	 -0.095	 -0.115
            529	 -0.105	 -0.125
            530	 -0.095	 -0.125
            531	 -0.105	 -0.135
            532	 -0.095	 -0.105
            533	 -0.095	 -0.115
            534	 -0.115	 -0.125
            535	 -0.085	 -0.105
            536	 -0.095	 -0.125
            537	 -0.155	 -0.135
            538	 -0.015	 -0.035
            539	  0.415	 -0.335
            540	  0.865	 -0.935
            541	  0.615	 -1.395
            542	  0.055	 -0.935
            543	 -0.095	 -0.415
            544	 -0.055	 -0.145
            545	 -0.075	 -0.035
            546	 -0.145	  0.005
            547	 -0.165	  0.005
            548	 -0.145	  0.005
            549	 -0.145	 -0.025
            550	 -0.155	 -0.005
            551	 -0.145	  0.015
            552	 -0.145	  0.005
            553	 -0.145	  0.015
            554	 -0.125	 -0.015
            555	 -0.115	 -0.025
            556	 -0.115	  0.045
            557	 -0.105	 -0.005
            558	 -0.105	 -0.025
            559	 -0.095	  0.025
            560	 -0.055	  0.025
            561	 -0.065	  0.005
            562	 -0.035	  0.035
            563	 -0.015	  0.035
            564	 -0.015	  0.055
            565	  0.025	  0.015
            566	  0.045	  0.005
            567	  0.085	  0.025
            568	  0.095	  0.025
            569	  0.115	  0.045
            570	  0.135	 -0.005
            571	  0.145	 -0.025
            572	  0.125	 -0.025
            573	  0.105	 -0.065
            574	  0.015	 -0.085
            575	 -0.005	 -0.065
            576	 -0.035	 -0.085
            577	 -0.085	 -0.105
            578	 -0.095	 -0.085
            579	 -0.115	 -0.095
            580	 -0.125	 -0.085
            581	 -0.125	 -0.085
            582	 -0.135	 -0.085
            583	 -0.115	 -0.115
            584	 -0.105	 -0.075
            585	 -0.125	 -0.065
            586	 -0.105	 -0.115
            587	 -0.115	 -0.065
            588	 -0.095	 -0.105
            589	 -0.095	 -0.095
            590	 -0.105	 -0.095
            591	 -0.075	 -0.085
            592	 -0.055	 -0.115
            593	 -0.025	 -0.065
            594	  0.085	 -0.085
            595	  0.145	 -0.165
            596	  0.305	 -0.295
            597	  0.635	 -0.325
            598	  0.955	 -0.375
            599	  1.315	 -0.545
            600	  1.705	 -0.875
            601	  2.015	 -1.135
            602	  2.095	 -1.115
            603	  1.745	 -1.055
            604	  1.105	 -0.735
            605	  0.465	 -0.385
            606	 -0.175	 -0.085
            607	 -0.435	  0.065
            608	 -0.445	  0.065
            609	 -0.475	  0.085
            610	 -0.465	  0.095
            611	 -0.455	  0.115
            612	 -0.455	  0.125
            613	 -0.445	  0.145
            614	 -0.415	  0.115
            615	 -0.395	  0.055
            616	 -0.465	  0.045
            617	 -0.525	  0.065
            618	 -0.555	  0.025
            619	 -0.585	  0.065
            620	 -0.665	  0.145
            621	 -0.755	  0.145
            622	 -0.855	  0.155
            623	 -0.895	  0.175
            624	 -0.925	  0.185
            625	 -0.955	  0.225
            626	 -0.955	  0.205
            627	 -0.975	  0.185
            628	 -0.905	  0.185
            629	 -0.835	  0.135
            630	 -0.775	  0.105
            631	 -0.665	  0.085
            632	 -0.535	  0.055
            633	 -0.415	 -0.055
            634	 -0.325	 -0.075
            635	 -0.265	 -0.065
            636	 -0.225	 -0.055
            637	 -0.195	 -0.065
            638	 -0.225	 -0.105
            639	 -0.215	 -0.085
            640	 -0.185	 -0.075
            641	 -0.205	 -0.095
            642	 -0.205	 -0.085
            643	 -0.195	 -0.085
            644	 -0.175	 -0.095
            645	 -0.175	 -0.085
            646	 -0.185	 -0.095
            647	 -0.155	 -0.105
            648	 -0.145	 -0.115
            649	 -0.175	 -0.115
            650	 -0.155	 -0.105
            651	 -0.145	 -0.085
            652	 -0.145	 -0.135
            653	 -0.135	 -0.125
            654	 -0.155	 -0.105
            655	 -0.135	 -0.125
            656	 -0.155	 -0.085
            657	 -0.135	 -0.115
            658	 -0.125	 -0.125
            659	 -0.125	 -0.115
            660	 -0.125	 -0.125
            661	 -0.135	 -0.095
            662	 -0.115	 -0.085
            663	 -0.115	 -0.145
            664	 -0.105	 -0.145
            665	 -0.105	 -0.125
            666	 -0.105	 -0.105
            667	 -0.105	 -0.115
            668	 -0.085	 -0.125
            669	 -0.125	 -0.115
            670	 -0.125	 -0.095
            671	 -0.095	 -0.115
            672	 -0.105	 -0.125
            673	 -0.105	 -0.105
            674	 -0.095	 -0.095
            675	 -0.115	 -0.135
            676	 -0.095	 -0.105
            677	 -0.105	 -0.115
            678	 -0.105	 -0.125
            679	 -0.105	 -0.115
            680	 -0.095	 -0.105
            681	 -0.095	 -0.105
            682	 -0.105	 -0.095
            683	 -0.105	 -0.075
            684	 -0.095	 -0.115
            685	 -0.095	 -0.115
            686	 -0.105	 -0.115
            687	 -0.105	 -0.085
            688	 -0.095	 -0.095
            689	 -0.085	 -0.075
            690	 -0.075	 -0.135
            691	 -0.095	 -0.115
            692	 -0.095	 -0.095
            693	 -0.115	 -0.105
            694	 -0.095	 -0.095
            695	 -0.075	 -0.085
            696	 -0.085	 -0.095
            697	 -0.105	 -0.095
            698	 -0.085	 -0.095
            699	 -0.105	 -0.125
            700	 -0.085	 -0.055
            701	 -0.085	 -0.115
            702	 -0.105	 -0.125
            703	 -0.095	 -0.105
            704	 -0.105	 -0.075
            705	 -0.075	 -0.085
            706	 -0.025	 -0.075
            707	 -0.025	 -0.075
            708	 -0.005	 -0.035
            709	 -0.015	 -0.045
            710	 -0.025	 -0.005
            711	  0.085	 -0.145
            712	  0.055	 -0.125
            713	  0.015	 -0.105
            714	  0.025	 -0.185
            715	  0.005	 -0.155
            716	 -0.035	 -0.105
            717	 -0.065	 -0.115
            718	 -0.115	 -0.145
            719	 -0.105	 -0.125
            720	 -0.105	 -0.095
            721	 -0.095	 -0.125
            722	 -0.085	 -0.105
            723	 -0.105	 -0.115
            724	 -0.085	 -0.085
            725	 -0.085	 -0.115
            726	 -0.145	 -0.125
            727	 -0.135	 -0.015
            728	  0.175	 -0.075
            729	  0.715	 -0.365
            730	  1.105	 -0.915
            731	  0.465	 -1.105
            732	 -0.025	 -0.615
            733	 -0.145	 -0.345
            734	 -0.115	 -0.145
            735	 -0.135	 -0.025
            736	 -0.165	  0.045
            737	 -0.165	  0.045
            738	 -0.155	 -0.005
            739	 -0.175	 -0.005
            740	 -0.175	  0.035
            741	 -0.155	  0.025
            742	 -0.155	  0.045
            743	 -0.145	  0.025
            744	 -0.135	  0.015
            745	 -0.155	  0.035
            746	 -0.125	  0.045
            747	 -0.115	  0.025
            748	 -0.095	  0.045
            749	 -0.085	  0.045
            750	 -0.085	  0.045
            751	 -0.065	  0.055
            752	 -0.035	  0.085
            753	 -0.025	  0.105
            754	  0.015	  0.045
            755	  0.035	  0.045
            756	  0.055	  0.065
            757	  0.075	  0.085
            758	  0.095	  0.065
            759	  0.125	  0.025
            760	  0.145	  0.045
            761	  0.155	  0.035
            762	  0.155	  0.005
            763	  0.155	  0.015
            764	  0.105	 -0.055
            765	  0.055	 -0.065
            766	  0.025	 -0.075
            767	 -0.015	 -0.055
            768	 -0.035	 -0.025
            769	 -0.055	 -0.075
            770	 -0.055	 -0.085
            771	 -0.075	 -0.035
            772	 -0.075	 -0.045
            773	 -0.085	 -0.035
            774	 -0.085	 -0.065
            775	 -0.075	 -0.045
            776	 -0.065	 -0.035
            777	 -0.065	 -0.045
            778	 -0.075	 -0.055
            779	 -0.055	 -0.045
            780	 -0.065	 -0.045
            781	 -0.045	 -0.055
            782	 -0.055	 -0.065
            783	 -0.065	 -0.055
            784	 -0.045	 -0.025
            785	 -0.045	 -0.065
            786	 -0.035	 -0.065
            787	 -0.055	 -0.085
            788	 -0.045	 -0.055
            789	 -0.045	 -0.065
            790	 -0.065	 -0.065
            791	 -0.055	 -0.055
            792	 -0.045	 -0.085
            793	 -0.045	 -0.065
            794	 -0.065	 -0.065
            795	 -0.035	 -0.065
            796	 -0.015	 -0.015
            797	  0.005	 -0.035
            798	  0.005	 -0.035
            799	  0.025	 -0.005
            800	  0.025	 -0.005
            801	  0.095	 -0.085
            802	  0.095	 -0.125
            803	  0.035	 -0.125
            804	  0.015	 -0.145
            805	  0.015	 -0.155
            806	 -0.005	 -0.115
            807	 -0.045	 -0.085
            808	 -0.075	 -0.065
            809	 -0.085	 -0.095
            810	 -0.075	 -0.115
            811	 -0.075	 -0.085
            812	 -0.065	 -0.095
            813	 -0.075	 -0.085
            814	 -0.095	 -0.085
            815	 -0.075	 -0.075
            816	 -0.055	 -0.075
            817	 -0.095	 -0.075
            818	 -0.085	 -0.035
            819	  0.165	 -0.045
            820	  0.705	 -0.485
            821	  1.055	 -1.125
            822	  0.515	 -1.395
            823	  0.055	 -0.835
            824	 -0.065	 -0.365
            825	 -0.045	 -0.105
            826	 -0.045	  0.065
            827	 -0.115	  0.035
            828	 -0.115	  0.035
            829	 -0.125	  0.055
            830	 -0.135	  0.065
            831	 -0.115	  0.065
            832	 -0.105	  0.085
            833	 -0.115	  0.035
            834	 -0.085	  0.045
            835	 -0.095	  0.065
            836	 -0.075	  0.085
            837	 -0.045	  0.115
            838	 -0.065	  0.055
            839	 -0.035	  0.085
            840	 -0.015	  0.095
            841	 -0.005	  0.085
            842	  0.015	  0.095
            843	  0.025	  0.125
            844	  0.045	  0.115
            845	  0.065	  0.135
            846	  0.085	  0.145
            847	  0.145	  0.085
            848	  0.165	  0.095
            849	  0.185	  0.105
            850	  0.205	  0.095
            851	  0.215	  0.075
            852	  0.215	  0.045
            853	  0.185	  0.015
            854	  0.125	 -0.005
            855	  0.065	 -0.025
            856	  0.025	 -0.015
            857	 -0.005	 -0.055
            858	 -0.045	 -0.045
            859	 -0.065	 -0.065
            860	 -0.075	 -0.035
            861	 -0.075	 -0.055
            862	 -0.075	 -0.035
            863	 -0.075	 -0.055
            864	 -0.075	 -0.045
            865	 -0.085	 -0.065
            866	 -0.075	 -0.055
            867	 -0.075	 -0.035
            868	 -0.065	 -0.035
            869	 -0.055	 -0.055
            870	 -0.075	 -0.035
            871	 -0.065	 -0.055
            872	 -0.055	 -0.055
            873	 -0.035	 -0.035
            874	 -0.055	 -0.045
            875	 -0.055	 -0.055
            876	 -0.055	 -0.065
            877	 -0.065	 -0.075
            878	 -0.055	 -0.065
            879	 -0.045	 -0.075
            880	 -0.045	 -0.045
            881	 -0.045	 -0.075
            882	 -0.055	 -0.095
            883	 -0.065	 -0.085
            884	 -0.065	 -0.055
            885	 -0.045	 -0.065
            886	 -0.015	 -0.085
            887	  0.005	 -0.035
            888	  0.005	 -0.035
            889	  0.005	 -0.055
            890	  0.015	 -0.035
            891	  0.065	 -0.075
            892	  0.085	 -0.125
            893	  0.025	 -0.175
            894	  0.005	 -0.195
            895	 -0.005	 -0.155
            896	 -0.045	 -0.165
            897	 -0.065	 -0.115
            898	 -0.095	 -0.135
            899	 -0.105	 -0.125
            900	 -0.105	 -0.125
            901	 -0.095	 -0.115
            902	 -0.105	 -0.125
            903	 -0.095	 -0.125
            904	 -0.095	 -0.125
            905	 -0.095	 -0.105
            906	 -0.075	 -0.125
            907	 -0.125	 -0.145
            908	 -0.115	 -0.035
            909	  0.245	 -0.165
            910	  0.755	 -0.705
            911	  0.985	 -1.305
            912	  0.345	 -1.385
            913	 -0.025	 -0.750
            914	 -0.105	 -0.335
            915	 -0.075	 -0.125
            916	 -0.115	 -0.005
            917	 -0.145	  0.005
            918	 -0.155	  0.005
            919	 -0.155	  0.005
            920	 -0.135	  0.015
            921	 -0.145	  0.005
            922	 -0.145	 -0.025
            923	 -0.135	  0.005
            924	 -0.125	  0.015
            925	 -0.115	 -0.005
            926	 -0.115	  0.005
            927	 -0.095	  0.025
            928	 -0.105	  0.025
            929	 -0.105	  0.035
            930	 -0.075	  0.025
            931	 -0.065	  0.025
            932	 -0.055	  0.085
            933	 -0.035	  0.015
            934	 -0.015	  0.055
            935	  0.025	  0.015
            936	  0.045	  0.035
            937	  0.075	  0.035
            938	  0.115	  0.025
            939	  0.115	  0.005
            940	  0.145	  0.015
            941	  0.165	 -0.005
            942	  0.155	 -0.015
            943	  0.145	 -0.025
            944	  0.085	 -0.065
            945	  0.025	 -0.085
            946	 -0.005	 -0.095
            947	 -0.045	 -0.105
            948	 -0.085	 -0.095
            949	 -0.095	 -0.095
            950	 -0.105	 -0.105
            951	 -0.135	 -0.095
            952	 -0.125	 -0.065
            953	 -0.125	 -0.095
            954	 -0.105	 -0.125
            955	 -0.115	 -0.095
            956	 -0.135	 -0.095
            957	 -0.115	 -0.075
            958	 -0.115	 -0.105
            959	 -0.105	 -0.125
            960	 -0.105	 -0.085
            961	 -0.105	 -0.065
