sample interval	   ECG1	   ECG2
            310	 -0.260	 -0.060
            311	 -0.180	 -0.070
            312	 -0.210	 -0.040
            313	 -0.090	 -0.040
            314	 -0.020	 -0.040
            315	  0.130	 -0.080
            316	 -0.100	 -0.010
            317	  0.130	 -0.020
            318	 -0.140	  0.040
            319	 -0.100	  0.000
            320	  0.070	 -0.120
            321	  0.060	 -0.160
            322	 -0.040	 -0.150
            323	 -0.100	 -0.150
            324	 -0.020	 -0.190
            325	 -0.120	 -0.200
            326	 -0.020	 -0.210
            327	 -0.080	 -0.140
            328	  0.020	 -0.050
            329	 -0.160	 -0.060
            330	 -0.070	 -0.080
            331	 -0.170	 -0.070
            332	 -0.090	 -0.070
            333	 -0.230	 -0.080
            334	 -0.050	 -0.080
            335	 -0.100	 -0.080
            336	 -0.100	 -0.080
            337	  0.000	  0.120
            338	  0.010	  0.200
            339	  0.160	  0.000
            340	  0.795	 -0.640
            341	  1.430	 -1.280
            342	  2.065	 -1.920
            343	  1.425	 -1.700
            344	  0.785	 -1.360
            345	  0.145	 -0.725
            346	 -0.480	 -0.090
            347	 -0.290	  0.000
            348	 -0.240	  0.000
            349	 -0.170	  0.050
            350	 -0.260	  0.010
            351	 -0.120	  0.060
            352	 -0.200	  0.030
            353	 -0.190	  0.060
            354	 -0.220	  0.040
            355	 -0.170	  0.020
            356	 -0.150	  0.040
            357	 -0.030	  0.030
            358	 -0.070	  0.040
            359	 -0.130	  0.080
            360	 -0.110	  0.070
            361	 -0.010	  0.090
            362	 -0.040	  0.100
            363	  0.100	  0.090
            364	  0.060	  0.130
            365	  0.260	  0.210
            366	  0.250	  0.200
            367	  0.280	  0.250
            368	  0.430	  0.280
            369	  0.470	  0.320
            370	  0.520	  0.350
            371	  0.600	  0.360
            372	  0.550	  0.420
            373	  0.660	  0.430
            374	  0.540	  0.350
            375	  0.630	  0.330
            376	  0.590	  0.300
            377	  0.620	  0.290
            378	  0.520	  0.280
            379	  0.540	  0.160
            380	  0.390	  0.170
            381	  0.170	  0.100
            382	  0.220	  0.120
            383	  0.060	  0.100
            384	  0.030	  0.100
            385	 -0.040	  0.020
            386	 -0.030	  0.050
            387	 -0.130	  0.040
            388	  0.000	  0.150
            389	 -0.160	  0.110
            390	  0.130	  0.250
            391	 -0.150	  0.220
            392	 -0.050	 -0.110
            393	  0.260	  0.190
            394	  0.000	  0.060
            395	  0.180	  0.200
            396	  0.170	  0.150
            397	  0.100	  0.220
            398	  0.180	  0.170
            399	  0.070	  0.220
            400	  0.130	  0.190
            401	  0.160	  0.180
            402	  0.090	  0.200
            403	  0.150	  0.190
            404	  0.030	  0.210
            405	  0.110	  0.150
            406	 -0.060	  0.150
            407	 -0.020	  0.130
            408	 -0.050	  0.180
            409	  0.120	  0.170
            410	 -0.030	  0.130
            411	  0.000	  0.070
            412	 -0.090	  0.040
            413	  0.060	  0.120
            414	  0.120	  0.100
            415	  0.020	  0.070
            416	  0.060	  0.110
            417	  0.040	  0.080
            418	  0.130	  0.120
            419	  0.140	 -0.080
            420	  0.100	 -0.160
            421	 -0.020	 -0.150
            422	 -0.070	 -0.170
            423	 -0.060	 -0.180
            424	 -0.100	 -0.220
            425	 -0.140	 -0.220
            426	 -0.110	 -0.140
            427	 -0.020	 -0.080
            428	 -0.210	 -0.080
            429	 -0.160	 -0.060
            430	 -0.240	 -0.070
            431	 -0.170	 -0.100
            432	 -0.240	 -0.080
            433	 -0.200	 -0.080
            434	 -0.210	 -0.070
            435	 -0.150	 -0.080
            436	 -0.190	 -0.050
            437	 -0.020	  0.240
            438	  0.100	  0.330
            439	  0.370	 -0.310
            440	  1.005	 -0.950
            441	  1.640	 -1.590
            442	  1.130	 -2.230
            443	  0.490	 -1.940
            444	 -0.150	 -1.305
            445	 -0.790	 -0.670
            446	 -0.370	 -0.035
            447	 -0.270	  0.100
            448	 -0.230	  0.050
            449	 -0.220	  0.130
            450	 -0.190	  0.090
            451	 -0.130	  0.130
            452	 -0.150	  0.090
            453	 -0.090	  0.120
            454	 -0.110	  0.140
            455	 -0.070	  0.160
            456	 -0.090	  0.120
            457	 -0.060	  0.140
            458	 -0.050	  0.140
            459	  0.120	  0.130
            460	  0.080	  0.230
            461	  0.090	  0.060
            462	  0.090	  0.220
            463	  0.170	  0.140
            464	  0.270	  0.280
            465	  0.410	  0.200
            466	  0.550	  0.270
            467	  0.500	  0.310
            468	  0.710	  0.310
            469	  0.790	  0.300
            470	  0.810	  0.300
            471	  1.060	  0.350
            472	  1.010	  0.340
            473	  1.080	  0.310
            474	  1.100	  0.300
            475	  1.130	  0.270
            476	  0.960	  0.200
            477	  0.690	  0.200
            478	  0.590	  0.100
            479	  0.290	  0.090
            480	  0.140	  0.080
            481	  0.040	  0.010
            482	  0.000	  0.030
            483	  0.010	  0.000
            484	 -0.270	 -0.050
            485	 -0.230	 -0.080
            486	 -0.040	 -0.030
            487	 -0.270	  0.030
            488	 -0.290	 -0.070
            489	 -0.240	 -0.060
            490	 -0.350	 -0.030
            491	 -0.310	 -0.040
            492	 -0.310	 -0.010
            493	 -0.360	  0.000
            494	 -0.170	  0.020
            495	 -0.310	  0.000
            496	 -0.190	  0.060
            497	 -0.280	  0.060
            498	 -0.150	  0.010
            499	 -0.230	  0.160
            500	 -0.220	  0.060
            501	 -0.170	  0.080
            502	 -0.280	  0.060
            503	 -0.310	  0.080
            504	 -0.180	  0.080
            505	 -0.230	  0.070
            506	 -0.240	  0.050
            507	 -0.290	  0.100
            508	 -0.280	  0.080
            509	 -0.270	  0.020
            510	 -0.260	  0.100
            511	 -0.140	  0.090
            512	 -0.270	  0.070
            513	 -0.260	  0.150
            514	 -0.180	  0.160
            515	 -0.130	  0.090
            516	 -0.090	 -0.070
            517	 -0.050	 -0.060
            518	 -0.340	 -0.030
            519	 -0.250	 -0.060
            520	 -0.310	 -0.070
            521	 -0.270	 -0.080
            522	 -0.240	 -0.040
            523	 -0.200	  0.060
            524	 -0.010	  0.110
            525	 -0.300	  0.040
            526	 -0.300	  0.050
            527	 -0.270	  0.070
            528	 -0.230	  0.060
            529	 -0.240	  0.050
            530	 -0.250	  0.050
            531	 -0.190	  0.070
            532	 -0.130	  0.030
            533	 -0.390	  0.100
            534	 -0.080	  0.400
            535	  0.280	  0.330
            536	  0.890	 -0.310
            537	  1.525	 -0.950
            538	  2.160	 -1.590
            539	  1.520	 -1.540
            540	  0.880	 -1.670
            541	  0.240	 -1.035
            542	 -0.400	 -0.400
            543	 -0.320	  0.140
            544	 -0.270	  0.220
            545	 -0.170	  0.190
            546	 -0.200	  0.160
            547	 -0.230	  0.200
            548	 -0.090	  0.120
            549	 -0.170	  0.160
            550	 -0.150	  0.160
            551	 -0.090	  0.140
            552	 -0.140	  0.120
            553	 -0.100	  0.100
            554	 -0.010	  0.110
            555	 -0.050	  0.120
            556	 -0.050	  0.120
            557	  0.040	  0.100
            558	  0.120	  0.120
            559	  0.070	  0.120
            560	  0.160	  0.130
            561	  0.110	  0.160
            562	  0.200	  0.160
            563	  0.470	  0.200
            564	  0.500	  0.260
            565	  0.700	  0.240
            566	  0.810	  0.340
            567	  0.920	  0.290
            568	  0.970	  0.360
            569	  1.110	  0.320
            570	  1.100	  0.350
            571	  1.100	  0.340
            572	  1.010	  0.270
            573	  0.970	  0.270
            574	  0.750	  0.210
            575	  0.560	  0.210
            576	  0.320	  0.120
            577	  0.210	  0.100
            578	  0.060	  0.060
            579	 -0.010	  0.070
            580	 -0.110	  0.010
            581	 -0.030	  0.020
            582	 -0.100	  0.020
            583	 -0.190	  0.000
            584	 -0.120	  0.040
            585	 -0.180	  0.000
            586	  0.190	 -0.010
            587	 -0.190	  0.070
            588	 -0.140	  0.060
            589	 -0.280	  0.160
            590	 -0.240	  0.130
            591	  0.020	  0.150
            592	 -0.140	  0.150
            593	  0.080	  0.200
            594	 -0.020	  0.190
            595	 -0.070	  0.200
            596	 -0.110	  0.200
            597	  0.040	  0.150
            598	 -0.010	  0.190
            599	 -0.210	  0.250
            600	 -0.100	  0.060
            601	 -0.050	  0.150
            602	 -0.190	  0.130
            603	 -0.230	  0.150
            604	 -0.270	  0.140
            605	  0.060	  0.090
            606	 -0.350	  0.170
            607	 -0.180	  0.150
            608	  0.180	  0.120
            609	 -0.160	  0.130
            610	 -0.150	  0.100
            611	  0.410	  0.130
            612	 -0.110	  0.190
            613	 -0.240	 -0.030
            614	 -0.060	 -0.030
            615	 -0.250	 -0.050
            616	 -0.420	 -0.110
            617	  0.050	 -0.070
            618	 -0.450	 -0.070
            619	 -0.190	 -0.190
            620	 -0.240	 -0.060
            621	 -0.060	 -0.050
            622	 -0.360	  0.080
            623	 -0.520	  0.070
            624	 -0.540	  0.020
            625	 -0.300	  0.000
            626	 -0.420	 -0.120
            627	 -0.280	 -0.060
            628	 -0.280	 -0.060
            629	 -0.430	 -0.010
            630	 -0.240	  0.060
            631	 -0.060	  0.340
            632	 -0.150	  0.350
            633	  0.190	 -0.290
            634	  0.825	 -0.930
            635	  1.460	 -1.570
            636	  0.820	 -2.210
            637	  0.180	 -1.940
            638	 -0.460	 -1.305
            639	 -0.900	 -0.670
            640	 -0.410	 -0.035
            641	 -0.400	  0.150
            642	 -0.320	  0.180
            643	 -0.360	  0.220
            644	 -0.340	  0.220
            645	 -0.430	  0.230
            646	 -0.300	  0.200
            647	 -0.260	  0.210
            648	 -0.210	  0.220
            649	 -0.240	  0.210
            650	 -0.210	  0.270
            651	 -0.230	  0.240
            652	 -0.180	  0.240
            653	 -0.030	  0.280
            654	 -0.200	  0.300
            655	 -0.020	  0.290
            656	  0.010	  0.300
            657	  0.090	  0.320
            658	  0.170	  0.390
            659	  0.280	  0.420
            660	  0.170	  0.430
            661	  0.580	  0.500
            662	  0.490	  0.490
            663	  0.700	  0.550
            664	  0.760	  0.560
            665	  0.760	  0.600
            666	  1.010	  0.500
            667	  1.010	  0.580
            668	  1.000	  0.450
            669	  0.970	  0.490
            670	  0.920	  0.360
            671	  0.620	  0.330
            672	  0.430	  0.250
            673	  0.250	  0.230
            674	  0.260	  0.170
            675	 -0.030	  0.120
            676	  0.020	  0.110
            677	 -0.130	  0.140
            678	 -0.250	  0.080
            679	 -0.200	  0.040
            680	 -0.070	  0.060
            681	 -0.150	  0.080
            682	 -0.270	  0.020
            683	 -0.120	  0.100
            684	 -0.170	  0.060
            685	 -0.180	  0.130
            686	 -0.140	  0.130
            687	 -0.140	  0.140
            688	 -0.230	  0.220
            689	 -0.060	  0.150
            690	 -0.070	  0.200
            691	 -0.150	  0.190
            692	 -0.030	  0.180
            693	 -0.140	  0.190
            694	 -0.110	  0.170
            695	 -0.180	  0.160
            696	 -0.160	  0.130
            697	 -0.180	  0.070
            698	 -0.190	  0.060
            699	 -0.170	  0.040
            700	 -0.220	  0.060
            701	 -0.180	  0.030
            702	 -0.130	  0.050
            703	 -0.110	  0.090
            704	 -0.140	  0.050
            705	 -0.130	  0.100
            706	 -0.070	  0.060
            707	 -0.010	  0.120
            708	  0.010	 -0.060
            709	 -0.130	 -0.160
            710	 -0.200	 -0.120
            711	 -0.180	 -0.120
            712	 -0.180	 -0.130
            713	 -0.250	 -0.210
            714	 -0.270	 -0.140
            715	 -0.100	 -0.090
            716	 -0.300	  0.030
            717	 -0.240	 -0.020
            718	 -0.310	 -0.010
            719	 -0.290	 -0.050
            720	 -0.290	 -0.010
            721	 -0.280	 -0.030
            722	 -0.290	 -0.040
            723	 -0.310	 -0.020
            724	 -0.270	  0.000
            725	 -0.240	  0.000
            726	 -0.150	  0.300
            727	  0.140	  0.410
            728	  0.420	 -0.230
            729	  1.055	 -0.870
            730	  1.690	 -1.510
            731	  1.050	 -2.150
            732	  0.410	 -2.080
            733	 -0.230	 -1.445
            734	 -0.730	 -0.810
            735	 -0.500	 -0.175
            736	 -0.250	  0.110
            737	 -0.310	  0.160
            738	 -0.240	  0.150
            739	 -0.150	  0.130
            740	 -0.380	  0.110
            741	 -0.130	  0.150
            742	 -0.340	  0.170
            743	 -0.130	  0.140
            744	 -0.100	  0.180
            745	 -0.160	  0.170
            746	 -0.140	  0.160
            747	 -0.090	  0.160
            748	 -0.030	  0.160
            749	  0.010	  0.180
            750	 -0.010	  0.220
            751	  0.190	  0.240
            752	  0.040	  0.250
            753	  0.240	  0.260
            754	  0.380	  0.280
            755	  0.340	  0.320
            756	  0.550	  0.330
            757	  0.710	  0.400
            758	  0.760	  0.330
            759	  0.930	  0.430
            760	  0.950	  0.360
            761	  1.100	  0.370
            762	  1.110	  0.340
            763	  1.170	  0.320
            764	  1.130	  0.240
            765	  0.990	  0.250
            766	  0.750	  0.130
            767	  0.490	  0.130
            768	  0.210	  0.030
            769	  0.180	  0.060
            770	 -0.020	 -0.080
            771	  0.070	 -0.010
            772	 -0.180	 -0.010
            773	  0.050	 -0.080
            774	 -0.190	 -0.040
            775	 -0.200	 -0.050
            776	 -0.100	 -0.070
            777	 -0.190	 -0.020
            778	 -0.170	 -0.100
            779	 -0.230	 -0.070
            780	 -0.190	 -0.020
            781	 -0.280	 -0.030
            782	 -0.230	  0.020
            783	 -0.190	  0.060
            784	 -0.210	  0.010
            785	 -0.270	 -0.060
            786	 -0.240	  0.040
            787	 -0.210	  0.050
            788	 -0.230	  0.000
            789	 -0.320	  0.060
            790	 -0.170	  0.020
            791	 -0.280	  0.020
            792	 -0.260	  0.050
            793	 -0.250	 -0.020
            794	 -0.240	  0.010
            795	 -0.250	  0.010
            796	 -0.160	  0.020
            797	 -0.270	  0.060
            798	 -0.150	  0.000
            799	 -0.160	  0.030
            800	 -0.170	  0.050
            801	 -0.070	  0.030
            802	 -0.100	 -0.130
            803	 -0.170	 -0.160
            804	 -0.210	 -0.160
            805	 -0.240	 -0.140
            806	 -0.230	 -0.140
            807	 -0.250	 -0.230
            808	 -0.180	 -0.120
            809	 -0.190	 -0.100
            810	 -0.240	 -0.060
            811	 -0.310	 -0.080
            812	 -0.280	 -0.060
            813	 -0.320	 -0.080
            814	 -0.320	 -0.130
            815	 -0.290	 -0.140
            816	 -0.210	 -0.090
            817	 -0.290	 -0.080
            818	 -0.100	 -0.110
            819	 -0.410	 -0.030
            820	 -0.090	  0.100
            821	  0.150	  0.240
            822	  0.710	 -0.400
            823	  1.345	 -1.040
            824	  1.980	 -1.680
            825	  1.340	 -2.240
            826	  0.700	 -1.940
            827	  0.060	 -1.305
            828	 -0.580	 -0.670
            829	 -0.360	 -0.110
            830	 -0.340	 -0.020
            831	 -0.280	  0.040
            832	 -0.330	  0.020
            833	 -0.180	 -0.020
            834	 -0.300	 -0.010
            835	 -0.160	  0.000
            836	 -0.240	 -0.020
            837	 -0.160	  0.010
            838	 -0.160	  0.000
            839	 -0.100	  0.000
            840	 -0.130	  0.020
            841	 -0.130	  0.080
            842	 -0.070	 -0.020
            843	 -0.070	  0.040
            844	  0.070	  0.110
            845	  0.050	  0.070
            846	  0.180	  0.100
            847	  0.200	  0.190
            848	  0.360	  0.180
            849	  0.370	  0.210
            850	  0.570	  0.240
            851	  0.670	  0.290
            852	  0.840	  0.320
            853	  0.880	  0.330
            854	  0.940	  0.350
            855	  1.050	  0.340
            856	  1.040	  0.320
            857	  1.040	  0.280
            858	  1.000	  0.250
            859	  0.890	  0.170
            860	  0.660	  0.060
            861	  0.380	  0.020
            862	  0.220	 -0.060
            863	  0.180	 -0.070
            864	  0.010	 -0.100
            865	  0.020	 -0.130
            866	 -0.010	 -0.150
            867	 -0.060	 -0.170
            868	 -0.130	 -0.170
            869	 -0.130	 -0.160
            870	 -0.110	 -0.150
            871	 -0.110	 -0.160
            872	 -0.120	 -0.080
            873	 -0.150	 -0.140
            874	 -0.100	 -0.140
            875	 -0.080	 -0.080
            876	 -0.100	 -0.090
            877	 -0.200	  0.160
            878	 -0.050	 -0.050
            879	 -0.150	  0.000
            880	 -0.160	 -0.200
            881	 -0.140	  0.040
            882	 -0.120	 -0.100
            883	 -0.160	 -0.310
            884	 -0.080	 -0.120
            885	 -0.140	 -0.220
            886	 -0.080	 -0.080
            887	 -0.080	 -0.160
            888	 -0.090	 -0.120
            889	 -0.120	 -0.150
            890	 -0.150	 -0.140
            891	 -0.120	 -0.120
            892	 -0.060	 -0.020
            893	 -0.090	 -0.160
            894	 -0.010	 -0.070
            895	 -0.070	 -0.100
            896	  0.010	 -0.030
            897	  0.030	 -0.220
            898	  0.000	 -0.260
            899	 -0.180	 -0.250
            900	 -0.080	 -0.210
            901	 -0.100	 -0.250
            902	 -0.190	 -0.400
            903	 -0.140	 -0.130
            904	 -0.060	 -0.220
            905	 -0.100	 -0.370
            906	 -0.140	 -0.180
            907	 -0.230	 -0.200
            908	 -0.250	 -0.200
            909	 -0.190	 -0.200
            910	 -0.180	 -0.190
            911	 -0.190	 -0.240
            912	 -0.150	 -0.210
            913	 -0.170	 -0.160
            914	 -0.160	 -0.160
            915	 -0.060	  0.120
            916	  0.120	  0.320
            917	  0.300	 -0.320
            918	  0.890	 -0.960
            919	  1.525	 -1.600
            920	  1.490	 -2.240
            921	  0.850	 -2.370
            922	  0.210	 -1.735
            923	 -0.430	 -1.100
            924	 -0.270	 -0.465
            925	 -0.270	 -0.060
            926	 -0.210	 -0.040
            927	 -0.220	 -0.060
            928	 -0.120	 -0.020
            929	 -0.220	  0.120
            930	 -0.040	 -0.100
            931	 -0.180	  0.090
            932	 -0.090	  0.040
            933	 -0.160	 -0.070
            934	 -0.050	  0.010
            935	 -0.090	  0.000
            936	 -0.060	  0.020
            937	 -0.060	  0.050
            938	 -0.030	  0.120
            939	  0.040	  0.220
            940	  0.060	  0.100
            941	  0.180	  0.050
            942	  0.260	  0.120
            943	  0.330	  0.200
            944	  0.350	  0.200
            945	  0.510	  0.280
            946	  0.580	  0.300
            947	  0.690	  0.370
            948	  0.850	  0.380
            949	  1.000	  0.370
            950	  0.980	  0.470
            951	  0.960	  0.290
            952	  1.090	  0.400
            953	  1.020	  0.170
            954	  1.010	  0.210
            955	  0.650	  0.180
            956	  0.560	 -0.030
            957	  0.550	  0.030
            958	 -0.040	  0.040
            959	  0.080	  0.130
            960	  0.240	 -0.220
            961	 -0.310	 -0.060
            962	  0.060	 -0.100
            963	 -0.140	 -0.120
            964	 -0.110	 -0.070
            965	 -0.240	  0.050
            966	  0.010	 -0.080
            967	 -0.190	  0.040
            968	 -0.130	  0.010
            969	  0.110	  0.230
            970	 -0.380	  0.180
            971	 -0.150	  0.100
            972	 -0.210	  0.230
            973	 -0.080	  0.110
            974	 -0.130	  0.210
            975	 -0.200	  0.400
            976	 -0.060	  0.340
            977	 -0.260	  0.240
            978	 -0.040	  0.230
            979	 -0.090	  0.480
            980	 -0.370	  0.350
            981	  0.100	  0.600
            982	 -0.280	  0.300
            983	 -0.480	  0.320
            984	 -0.530	  0.850
            985	 -0.240	  0.210
            986	 -0.230	  0.550
            987	  0.320	  0.240
            988	 -0.320	  0.690
            989	  0.090	  0.130
            990	 -0.280	  0.590
            991	  0.000	  0.640
            992	 -0.200	  0.570
            993	 -0.110	  0.430
            994	 -0.160	  0.380
